synonyymit|hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1|Sarake2|Sarake3|Sarake4|Sarake5|Sarake6|||||
|pesta|pestä, pezen, pez'in|v.||||pezen (RKS)|пэзен|мою|pesen|||||||||||
|pesta||v.||||peze, puhtasta minud! loits.||умой, очисти меня!|pese, puhdasta minut!|||||||||||
|petl|petle (RKS)|s.|пэтлэ|петля|silmukka|||||||||||||||
|peza|pez/ä, -än, -äd; -id; (V) pez/a, -an, -ad|s.|пэзя|гнездо|pesä|||||||||||||||
siätä|pidada|pi/dädä, -dän, -d'in; -däu, -d'i; -detäh, -dettih |v.||держать; делать|pitää, säilyttää, käyttää, kuluttaa, tuhlata, tarvita, viettää, tehdä|žualoban pidan (RKS)|жалобан пидан|жалуюсь, жалобу держу|teen valituksen|||||||||||
|pidada||v.||||t'ühjäkse pidau (RKS)|тюгьяксэ  пидау|тратит, на пустое держит|hän kuluttaa|||||||||||
|pidada||v.||||r'emontan pid'i taluois||ремонт сделал в доме|remontin teki talossa|||||||||||
|pidada||v.||||vuiškal muard'ad pidettih||на чердаке ягоды держали|ullakaossa pidettiin marjoja|||||||||||
|pieksada||v.||||pieksan (RKS)|пиэксан|мешаю, сбиваю (мешаю масло)||||||||||||
|pieline|pieluine (RKS)|s.|пилуйнэ|щель|rako, väli|||||||||||||||
|pieluz|pielu/s, -ksen, -ste; -ksid|s.|пиэлус|подушка|pielus, tyyny, päänalunen|||||||||||||||
|pieluzpiäline|pielus/piäline|s. yhd.|пиэлус пиялинэ|наволочка|tyynyliina, pieluksenpäällinen|||||||||||||||
|pien'|pie/n'i, -nen, -nde; -n'id|a.||||pieni lapsi (RKS)|пиэни лапси|малютка|pieni lapsi|||||||||||
|piendar|piendar|s.|пиэндар|межа|piennar, tilanraja, tonttiraja|||||||||||||||
|piha|pih/a, -an, -ad; -uoid|s.|пига|улица|piha, ulkopuoli|veräjäle pand'ih riste pihan puolel, iraižel čural ||на воротах крест рисовали со стороны улицы, с внешней стороны|veräjälle piirrettiin risti ulkopuolelle, ulkoiselle puolelle|||||||||||
|piihted|piih/ted, -t'id|s. mon.|пихтэт|клещи|pihdit, hohtimet|||||||||||||||
|piirag|piira/i, -gan, -gad ~ -ide; -guoid; (V) piirag, -an, -ad; -uoid|s.|пирай|пирог; калитка (RKS)|piirakka, piiras; karjalanpiirakka|||||||||||||||
|pila|pil/a, -an, -ad; -uoid|s.|пила|пила|saha|||||||||||||||
|pilida|(TP) pili/dä, -n|v.||||pilin (RKS)|пилин|пилю|sahaan|||||||||||
|pilkeh|pilkeh (RKS)|s.|пилкэ|пятно|pilkku, täplä|||||||||||||||
leikata, pilkkoda|halgoda|(V, TP) halgo/da, -n|v.||||||||||||||||||
halgoda, leikata|pilkkoda|pil/kkoda, -kon; -kkou (LMS 313)|v.||крошить, резать, рубить, колоть (сахар)|pilkkoa, paloitella (sokeria, halkoja)|pilkon (RKS)|пилкон|рублю|pilkon|||||||||||
|pill|pill/e, -an, -ad|s.|пиллэ|вред, изъян (RKS)|vahinko, vika|(SP) pillan azui||он нанёс вред|teki vahingon|||||||||||
tuuč|pilv|pilv/i, -en, -ed; -id|s.|пильви|туча (дождевая, RKS)|pilvi, sadepilvi|||||||||||||||
|pendžak|pin'd’ža/kko, -kon, -kkod; -kuoid; (TP) pind’žakke ~ (V) pin'd’ža/kke, -kan, -kkad; -kuoid|s.||||||||||||||||||
|pino|pin/o, -on, -od; -uoid|s.|пино|костер, поленница|pino|||||||||||||||
|pipper'|pippuri, -n, -d (RKS)|s.|пиппури|перец|pippuri|||||||||||||||
|pistolet|pistole/tte, -tan, -ttad (RKS)|s.|пистолэттэ|пистолет|pistooli|||||||||||||||
süödä|pitaidakse|pitai/dakse, -mos|v. refl.||||pitaimos (RKS)|питаимос|питаюсь|ruokailen|||||||||||
|pitk|pitk/e, -än, -äd; -id|a.|питкэ|длинный|pitkä|(TP) pitke taibaleh (LMS 426)||долгий путь|pitkä taival|||||||||||
|pitk||a.||||pitkäd savakod moižed||длинные шесты такие|sellaiset pitkät sauvat|||||||||||
müöti|pitkin|pitkin|prep.|питкин|вдоль|pitkin, pituussuuntaan|||||||||||||||
piähüd|piä I|piä, -n, -d ~ -de; -löid; (V) piä, -n, -d; -id|s.|пия|голова, головка|pää|piä pakottau (RKS)|пия пакоттау|голова болит|särkee päätä|||||||||||
|piä I||s.||||(TP) piäd pakottau||голова болит|särkee päätä|||||||||||
|piä I||s.||||(Pn) šuapkat piäz ielnu (OLR 139)||шапки на голове не было|hattua päässä ei ollut|||||||||||
piä I|piä|piä/d ~ -t (RKS), -löid|s. mon.||головки (у сапог)|terät (saappaiden)|||||||||||||||
piä I|piähüd|piähü/d, -den|s. dem.|||pää (pieni), päähyt|||||||||||||||
|piäsköi |piäsk/üöi ~ (TP, SP) piäsköi, -üöin, -üöid; -ölüöid|s.|пияскюй|ласточка|pääskynen|||||||||||||||
|piästäda|piäs/täi, -tän, -st'in; (V) piä/städä, -stän, -št'in; (AV) pies/tada, -tan|v.||выпускать, отпускать, освобождать, спасать|päästää, laskea, pelastaa, vapauttaa|mähändän piästäu||икру пускает|laskee mätiä|||||||||||
|plemännik|plemän'n'i/kke, -kan, -kkad; -kuoid (LMS 322)|s.|племянниккэ|племянник, племянница|veljen poika, sisaren poika|||||||||||||||
kunut|plett'|ple/t't'i, -t'in, -t't'id|s.|плэтти|плеть|piiska|||||||||||||||
|plettida|ple/t't'idä, -t'in, -t'iin; -t't'iu|v.||||plet'in (RKS)|плэтин|вплетаю; плету (косу)|palmikoin|||||||||||
|plotin|plot'in, -an, -ad|s.|плотин|плотина|pato, veden salpa, veden sulku, toe|||||||||||||||
|plotnik|plotn'i/kke, -kan, -kkad; -kuoid|s.|плотниккэ|плотник|kirvesmies|||||||||||||||
kargaita|pläššida|plä/ššidä, -šin, -šiin (LMS 322)|v.||танцевать, плясать|tanssia|pläšin (RKS)|пляшин|танцую|tanssin|||||||||||
bočč|počč|po/čči, -čin, -ččid; -čiid|s.|поччи|свинья|sika; upukan kukka (TP)|||||||||||||||
počč|bočč|bo/čči, -čin, -ččid; -čiid|s.||||||||||||||||||
|počinpoig|počim/poige|s. yhd.|почин пойгэ|поросенок|porsas|||||||||||||||
|počinpoigad|počim/poigad|s. yhd. mon.||||||||||||||||||
|počinpoigaižed|počim/poigaižed ~ -poigaižet (RKS)|s. yhd. mon.||||||||||||||||||
lahd'oda, lahd'ottada|podarida|podar'i/da, -n, -in|v.||дарить, подарить|lahjoittaa|podar'in (RKS)|подарин|дарю|lajoitan|||||||||||
|podr'ušnik|podr'ušn'i/kke, -kan, -kkad; -kuoid (RKS)|s.|подбрюшниккэ|подпруга|satulavyö|||||||||||||||
|podušnoi|podušnoi (RKS)|s.|подушной|подати|verot|||||||||||||||
|podvodad|podvodat (RKS)|s. mon.|подводат|подводы|kuormarattaat, kyydit|||||||||||||||
pagast|pogost|pogost/e, -an, -ad|s.|погостэ|погост, деревня с церковью|kirkonkylä, kirkkomaa, seurakunta|(Pn) kouz lähtimme pogostal da n'umaloih mänimme  (OLR 46)||когда мы отравлялись из погоста и шли на богомолье|kun lähdimme kirkonkylästä ja menimme rukoilemaan|||||||||||
|pohd'|pohj/e ~ pohd'/e, -an, -ad; -id|s.|погье|дно|pohja|||||||||||||||
|pohd'aine|pohja/ine, -ižen, -šte; -ižid (RKS); (V) pohd'a/ine, -ižen, -št; -ižid |a.|погьяйнэ|северный|pohjoinen|pohjaine tuul'i (RKS)|погьяйнэ туули|северный ветер|pohjoistuuli|||||||||||
|poig|poig/e, -an, -ad; -id|s.|пойгэ|сын|poika; pentu, poikanen|(Ka) minul on kaks' poigad||у меня два сына|minulla on kaksi poikaa |||||||||||
|poikki|poikki|adv.-adp.|пойки|поперек|poikki|||||||||||||||
kumarduz|poklon|poklon (RKS)|s.|поклон|поклон|kumarrus|||||||||||||||
|pola|pol/a, -an, -ad; (V) -id|s.|пола|пола|takinpieli, takinlieve, helma|||||||||||||||
|polat'|polatti (RKS)|s.|полатти|полати|laveri|||||||||||||||
paust|polos|polos ~ (V) polo/sse, -ssan|s.|полос|полоса|sarka, pellonsarka|||||||||||||||
polos|polosud|polosut (RKS)|s. dem.|полосут|полоса, полоска|sarka, pellonsarka|||||||||||||||
palttin|polotn|polotne (RKS)|s.|полотнэ|полотно|palttina|||||||||||||||
|polovik|polovi/kke, -kan, -kkad; -kuoid|s.|половиккэ|половик|matto|||||||||||||||
suada|poluččida|polu/ččida, -čin, -čiin|v.||получать|saada, nauttia, ansaita|polučin (RKS)|получин|получаю|saan|||||||||||
|polud|polude (RKS)|s.|полудэ|полуда|tinaus|||||||||||||||
|polv|pol'vi ~ polv/i, -en, -ed; -id|s.|польви|колено|polvi|polvele ištuiheze||он сел на колено|hän istuutui polvelle|||||||||||
|polved|polv/ed, -id|s.||||||||||||||||||
kublaz, käbr, käbrik, käbrüz, pull, pulloine|poplafk|(Tsar) poplafk/e, -an, -ad; -uoid|s.||поплавок|koho, ongenkoho|||||||||||||||
pordaz|pordaz|porda/s, -han, -st; -hid|s.||ступенька|porras|||||||||||||||
pordaz|pordahad|pordah/ad ~ pordah/at (RKS), -id|s. mon.|пордагат|лестница, крыльцо (RKS)|portaat, ulkoportaat|||||||||||||||
|pordimoi|pord'im/uoi ~ pord'imoi (RKS), -uoin, -uoid; -oluoid|s.|пордимой|горностай|kärppä|||||||||||||||
|poroh|porohhe (RKS)|s.|порохэ|порох|ruuti|||||||||||||||
sija|postel'|post'eli, -n|s.|постели|постель|olkipatja, vuode|||||||||||||||
|postel'nik|post'el'n'i/kke, -kan, -kkad; -kuoid (RKS)|s.|постельниккэ|постельник|lakana|||||||||||||||
|poteh|poteh (RKS)|s.|потех|потеха|huvi|||||||||||||||
|povi|pov/i, -en, -ed; -id|s.|пови|пазуха|povi|pove(h) (RKS)|повэ|в пазуху|poveen|||||||||||
ottada (vastah), vastata|priimida|pr'iimi/da, -n, -in|v.||||pr'iimin (RKS)|примин|принимаю|otan vastaan|||||||||||
käsk, käskend|prikaz|prikaz, -zan, -ad|s.|приказ|приказ|käsky|||||||||||||||
|priänik|prän'i/kke, -kan, -kkad; -kuoid|s.|пряниккэ|пряник|piparkakku|||||||||||||||
kirota, klenida|proklenida|prokl'en'i/dä, -n, -in|v.||проклинать, проклясть|kirota|prokl'en'in (RKS)|прокленин|проклинаю|kiroan|||||||||||
|prosto|prosto (RKS)|adv.|просто|просто|yksinkertaisesti|||||||||||||||
|prostuud|prostude (RKS)|s.|простудэ|простуда|vilutauti|||||||||||||||
lapp|präšk|präšk/e, -än, -äd|s.|пряжкэ|пряжка|solki (housujen, liivin)|||||||||||||||
|puaks|puaksu, -n, -d; -id|a.||частый|tiheä, taaja|puaksut (RKS)|пуаксут|частые|tiheät|||||||||||
|puaksus(ti)|puaksuh ~ (Ka) puaksuu|adv.|пуаксу|часто|usein, tiheään, taajaan|puaksuh nägemme toine tošte||часто видим друг друга|usein tapaamme toistensa kanssa|||||||||||
|pualmovoi|pual'movoi (RKS)|a.|пуальмовой|пальмовый|palmu-|pual'movoi tuohus (RKS)|пуальмовой туохус|пальмовая свеча|palmukynttilä|||||||||||
|puar|puare (RKS)|s.|пуара|пара|pari|||||||||||||||
|puarm|puarm/e, -an, -ad; -uoid |s.|пуармэ|овод; таракан (RKS)|paarma|||||||||||||||
|puatok|puatoke (LMS 336)|s.|пуатокэ|патока|siirappi|||||||||||||||
|puaz|puazu ~ (Lm) poazu, -n, -d|s.|пуазу|паз|rako|||||||||||||||
|pučiine|puči/ine, -ižen, -šte; -ižid|s. dem.|пучийнэ|боченок|pieni tynnyri|||||||||||||||
|pudištada|pudiš/tada, -tan, -t'in (LMS 336)|v.||трясти|pudistaa, puistaa|pudištan (RKS)|пудиштан|трясу|pudistan|||||||||||
|puhalduz|puhaldus (RKS)|s.|пугалдус|опухоль|turvottuma|||||||||||||||
puhkaita|puhkoda|puhko/da, -n|v.||прокалывать, протыкать; чистить рыбу|puhkaista, perata (kaloja)|puhkon (RKS)|пухкон|чищу (рыбу)|peraan (kaloja)|||||||||||
|puhuda|puhu/da, -n, -in|v.||||puhun (RKS)|пугун|дую, сдуваю|puhallan, puhaltelen|||||||||||
|puik|pui/kko, -kon, -kkod|s.||заноза, спичка|puikko, tikku|puikko män'i (RKS)|пуйко мяни|заноза (спичка) попала|sain tikun (ihooni)|||||||||||
pulk|bulk II|bul'/kke, -kan, -kkad|s.|булькэ|пуля|luoti|||||||||||||||
bulk|pulk|(V) pul'/k, -kan, -kad; -kid|s.||пуля|luoti|||||||||||||||
|puls|(TP) piul'sse|s.|||valtimon tykytys|||||||||||||||
|punaiduz|punaldu/s, -ksen, -ste|s.|пуналдус|поворот|käännös|||||||||||||||
|punoda|pun/oda, -on, -uoin; -ou, -uoi|v.||||punon (RKS)|пунон|плету (веревку)|punon|||||||||||
|puraz|pura/s, -han|s.|пурас|пешня|tuura|||||||||||||||
|pušk|puške (RKS)|s.|пушкэ|пушка|tykki|||||||||||||||
|puskeda|pusk/eda, -ou, -i|v.||||pusken (RKS)|пускэн|бодаю|pusken|||||||||||
burak|puzu|(Lm) puzu, -n, -d; -id|s.||берестянка, туес; ловушка для тетеревов|tuohiastia (sylinterimäinen); teerenkaha (Lm)|||||||||||||||
|puuh|puuhe (RKS)|s.|пухэ|пух|untuva|||||||||||||||
puine|puuhine|puuhi/ne, -žen, -šte; -žid|a.||деревянный|puinen|(Tsar) puuhiižed azuttih||деревянные (крыши) делали|puisia (kattoja) tehtiin|||||||||||
hüväižes(ti)|puutilleh|put'illeh|adv.||по-путному, по-хорошему, как следует, ладно|kunnolla|||||||||||||||
hüvä, puutilline|puutin|put'in|a. taipum.||путный, путёвый, пригожий, хороший, ладный|kunnon, kunnollinen|put'in akke||хорошая жена|kunnon vaimo|||||||||||
|puutin||a. taipum.||||put'in taluoi||ладный дом|kunnon talo|||||||||||
|puutin||a. taipum.||||put'in pereh||путная семья|kunnollinen perhe|||||||||||
|puuttuda|puu/ttuda, -ttuu, -tui|v.||попадать, попасть, случиться, получить, схватить|sattua, osua, päätyä, joutua, saada, tarttua|hüvin puuttuu (RKS)|гювин пуутуу|хорошо попадает (клев)|hyvin syö (kala)|||||||||||
|puuttuda||v.||||forer'i puuttuu vie ||форель попадёт ещё|forellia saadaan vielä|||||||||||
|puuttuda||v.||||kui tämä d'üvä puuttuu muah (TTV) loits.||как это зерно попадает в землю|kuin tämä jyvä joutuu maahan|||||||||||
|puzerta||v.||||puzerd'in (RKS)|пузэрдин|я выжал|puristin, pusertin|||||||||||
|pühkida|pühki/dä, -n, -in|v.||||pühkin (RKS)|пюхкинъ|мету|pyhkin|||||||||||
|pühkidakse|pühki/dakse, -mös, -imös|v. refl.||вытираться, утираться|pyhkiä itseään|pühkimös (RKS)|пюхтимёс|утираюсь|pyyhkin|||||||||||
|pühäpäiv|pühä/päi|s. yhd.|пюгя-пяй|воскресенье|sunnuntai|forer'i puuttuu vie ||форель попадёт ещё|forellia saadaan vielä|||||||||||
|püü|pü/ü ~ (Lm) püu, -ün, -üd; -id|s.|пюу|рябчик|pyy|||||||||||||||
|püörüž|püörü/š, -žän |a.|пюёрюшь|круглый; кружок|pyöreä|püörüžäd loukod (LMS 345)||круглые отверстия|pyöreät reiat|||||||||||
kiudug|päčč|pä/čči, -čin, -ččid|s.|пяччи|печка|uuni|||||||||||||||
|päččlaud|päčči/laude (RKS) ~ (Lm) päčči/laud ~ (TP) päč/laude|s. yhd.|пяччи лаудэ|заслонка (печи)|uuninsuuluukku, uuninsuupelti (irrallinen)|||||||||||||||
|päčnik|päčn'i/kke, -kan, -kkad; -kuoid|s.|пячниккэ|печник|uunintekijä, uunimuurari|||||||||||||||
|päged|päge/d ~ (Lm) -i, -dän, -däd|s.|пягед|плюсна, подъём (ноги)|jalkapöytä|||||||||||||||
|päiv|päiv/e, -än, -äd; -id ~ päi, -n, -d|s.|пяйвэ|день; солнце|päivä; aurinko|(V) räkki päive||жаркий день|kuuma päivä|||||||||||
|päiv||s.||||äijängo päiväd?||сколько дней?|montako päivää?|||||||||||
|päiv||s.||||il’l’ampäi on tošt päid elokuud||Ильин день второго августа|Elian päivä on elokuun toisena päivinä|||||||||||
|päiv||s.||||rod'ih täks päiväd külläl (LMS 316)||хватит на сегодняшний день с избытком|riittää täksi päivää kylliksi|||||||||||
|päivpašt|päi/pasto (LMS 346) ~ -pašto (RKS)|s. yhd.|пяй-пашту|солнце, солнечный свет|päivänpaisto|päipašton nouzendе (RKS)|пяй-паштон ноузэндэ|auringonnousu||||||||||||
|päivpašt||s. yhd.||||päipašton laskende (RKS)|пяй-паштoн ласкендэ|auringonlasku||||||||||||
|päiväl|päiväl (RKS)|adv.|пяйвял|днём|päivällä|||||||||||||||
|päivänlasktuul'|päivän/lasku/tuul'i (RKS)|s. yhd.|пяйвянласку туули|западный ветер|länsituuli|||||||||||||||
|päivännouztuul'|päivän/nouzu/tuul'i (RKS)|s. yhd.|пявянноузу туули|восточный ветер|itätuuli|||||||||||||||
|pölgättada|pel’gä/ttäi, -tän, -t’in|v.||||pel'gätan (RKS)|пэльгятан|пугаю|pelästytän|||||||||||
|pölgättada||v.||||pel'gätin (RKS)|пэльгатин|я напугал|pelästytin|||||||||||
|pölü|pölü, -n, -d|s.|пёлю|пыль|pöly, tomu|||||||||||||||
pölüstada|pölüžittada|pölüži/ttäi, -tän, -t'in|v.||пылить, запылить|pölyttää|pölüžitän (RKS)|пёлюжитан|пылю|pölytän|||||||||||
|raba II|raba, -n, -d|s.|раба|гуща (квасная, RKS)|sakka, mäski|||||||||||||||
|raba I|raba, -n, -d|s.|раба|раб|orja, jumalanpalvelija|||||||||||||||
|ragištada|ragiš/tai, -tau|v. yksip.||||||||||||||||||
|ragiž|rag/iš, -ehen, -ište|s.|рагиш|град|rae, raesade|||||||||||||||
|rahnoda|rahn/oda, -on, -uoin|v.||жать|leikata sirpillä|rahnon (RKS)|рагнон|жну|leikkaan sirpillä|||||||||||
|rahnoda||v.||||(TP) kagre rahnotah čirpil liuftehile, pandah kühlähäizile||овёс жнут серпом в снопы, складывают в суслончики|kauraa leikataan sirpillä, pannaan kuhilaille|||||||||||
|raht|ruahto ~ rahto (RKS) ~ (Lm) roahto , -n, -d|s.|руахто|творог|rahka, uunipiimä, kokkeli|ruahtod azuin ||я творог сделала|rahkaa tein|||||||||||
|rahvaz|rahva/s, -han, -ste (RKS)|s.|рагвас|народ; люди|kansa; ihmiset|||||||||||||||
rambiččij|ramb|ramb/e, -an, -ad; -uoid|s.|рамбэ|хромой|ontuva, rampa|||||||||||||||
ramb|rambiččij|(SP) rambičči/i, -jan|s.||||||||||||||||||
|rambita|rambi/ta, -čen, -čin; -ččou|v.||хромать|ontua|rambičen (RKS)|рамбичэн|хромаю|onnun|||||||||||
ruam|ramk|ramk/e, -an, -ad; -uoid|s.|рамкэ|рамка|kehys, puitteet (ikkunan, taulun)|||||||||||||||
|ruamad|(V) ruamad|s. mon.||||||||||||||||||
|rand|rand/e, -an, -ad; -uoid|s.|рандэ|берег|ranta|||||||||||||||
|rassal'|rassal'i, -n, -d (LMS 363)|s.|рaссали|рассол|hera, liemi|||||||||||||||
|rataz|ra/tas, -ttahan,  -taste|s.|ратас|колесо|pyörä, ratas|||||||||||||||
rataz|rattahad|rattah/ad, -id|s. mon.|ратас|колёса|pyörät|||||||||||||||
|raud|raud/e, -an, -ad; -uoid|s.|раудэ|железо|rauta|seppe azuu raudas kaikked luadud raudebrujad||кузнец изготавливает из железа железные вещи всякого свойства|seppä tekee raudasta kaikenlaisia rautaesineitä|||||||||||
|raudaine|rauda/ine, -ižen, -šte; -ižid|a.|||rautainen, rauta-|||||||||||||||
|raudbruja|raude/bruja|s. yhd.||железная вещь, металлический предмет|rautaesine|seppe azuu raudas kaikked luadud raudebrujad||кузнец изготавливает из железа железные вещи всякого свойства|seppä tekee raudasta kaikenlaisia rautaesineitä|||||||||||
|raudad|raud/ad, -uoid|s. mon.||||||||||||||||||
|razv|razv/e, -an, -ad; -uoid|s.|развэ|жир, сало|rasva, tali, ihra|||||||||||||||
|razvaduda|razvavu/da, -n, -in|v.||жиреть, разжиреть|rasvautua|razvavun (RKS)|развавун|жирею|rasvoitun|||||||||||
razvaine|razvahine|razvahi/ne, -žen, -šte; -žid (RKS)|a.|развахинэ|сальный|tali-, rasva-|razvahine tuohus (RKS)|развахинэ туохус|сальная свеча|rasvainen tuohus|||||||||||
razvahine|razvaine|razva/ine, -ižen, -šte; -ižid|a.|развайнэ|жирный|rasvainen|||||||||||||||
itkeda, ravišta|rebita|rebi/ta, -dan, -žin|v.||рваться, разорваться; реветь (RKS)|revetä; parkua|rebidan (RKS)|рэбидан|сильно реву|itken kovin|||||||||||
|rebittada|rebi/ttädä, -tän, -t'in (LMS 353)|v.||||rebitan (RKS)|рэбитан|рву|repeän|||||||||||
|reboi|reb/uoi, -uoin, -uoid; -oluoid|s.|рэбуой|лиса|kettu|||||||||||||||
|redustada|redus/tada /LMS 354), -tan, -t'in|v.||||redustan (RKS)|рэдустан|мараю|likaan|||||||||||
|regi|reg/i, -en, -ed; -id|s.|реги|сани; воз|reki, työreki; kuorma|||||||||||||||
|reguč|regu/ččе, -čän, -ččäd|s.|рэгучче|салазки, дровёшки|kelkka, reki (pieni)|||||||||||||||
kohenduz|remont|r'emon/tte, -tan, -ttad|s.||||r'emontan pid'i taluois||ремонт сделал в доме|remontin teki talossa|||||||||||
hiihn, nahkvüö|remen’|remeni, -n, -d|s.|ремени|чересседельник (RKS)|nahkavyö, nahkahihna|||||||||||||||
hiinaz, nahkvüö, remen’|hiihn|(Lm) hiihn/e, -an, -ad|s.||ремень (технический)|hihna, kätkyen hihna, suksen mäystin, puntarin hihna|||||||||||||||
|ribu|ribu, -n, -d; -id|s.|рибу|тряпка|rätti|||||||||||||||
|rieht|rehto (LMS 355)|s.|рэхто|прясло|seiväsväli|||||||||||||||
ribaidoittada, riboittada|ribaittada|ribai/ttai, -ttau, -tti|v.||сыпать, посыпать|ripottaa|ribaitti ozrad||он сыпал ячменное зерно|ripotti ohra jyviä|||||||||||
|riehtil|rieht'il, -än, -äd|s.|риэхтилъ|сковорода|paistinpannu|||||||||||||||
|riepoi|riepuoi, -n, -d|s.|риэпуой|репница (репа)|nauriskalja|||||||||||||||
|riibalmal|riibalmal (RKS)|adv.|рийбалмал|в царапинах|naarmuilla|||||||||||||||
|riidelta|riide/lta, -len, -l'in|v.||||riidelen (RKS)|рийдэлэн|спорю (RKS)|riitelen|||||||||||
rusked|riiž|(V) riiž/e, -an, -ad|s.||рыжая лошадь|punertava hevonen, punaruskea hevonen|||||||||||||||
riizud|riiz|riizu, -n, -d; -id|s.|ризу|риза|viitta, papinviitta, messukasukka; kastevaate (TP)|||||||||||||||
tappada|rikkoda|ri/kkoda, -kon, -kuoin|v.||убивать, убить|surmata, tappaa|rikon (RKS)|рикон|убиваю (RKS)|tapan|||||||||||
|rikkoda||v.||||(Ka) rikottii voinal||убили на войне|tapettiin sodassa|||||||||||
bokk, käzi, laid, puol’, rand|reun|reun/e, -an, -ad|s.||край, кромка|reuna, laita, syrjä|||||||||||||||
|reunas|reunas|adv.-postp.||||(SP) reunas lähte iäres! (LMS 355)||уходи отсюда прочь!|mene pois vierestäni!|||||||||||
|reunah|reunah|adv.-postp.||||||||||||||||||
|rindal|rindal|adv.-postp.||||||||||||||||||
|rindale|rindale|adv.-postp.||||mado ei tule rindale venehee||змея не заползёт рядом в лодку|käärme ei pääse tulemaan viereen veneeseen |||||||||||
|ründäzluu|ründäz/luu|s. yhd.||грудная кость, грудина|rintaluu, rintalasta|||||||||||||||
ründäz|rind|rind/e, -an, -ad; -uoid|s.||грудь|rinta; rintamus (paidan); rintaverkko (nuotassa)|||||||||||||||
|pulčuk|(Lm) pul'čukke|s.||||||||||||||||||
pulčuk|čurk|čur/kke, -k(k)an, -kkad; -kkid|s.||чурка, чурбан|pölkky, hirrenpätkä, kangastukki|laskih čurkal reunah (LMS 355)||улёгся рядом с чурбаном|pani maata pölkyn viereen|||||||||||
|riputtada|ripu/ttada, -tan, -t'in (LMS 358)|v.||||riputan (RKS)|рипутан|вешаю|ripustan|||||||||||
|riih|riih, -en, -te; -id|s.||рига, овин|riihi|riihi lämmitetäh||ригу топят|riihi lämmitetään|||||||||||
|riiččida|rii/ččidä, -čin, -čiin|v.||||||||||||||||||
|riis|ris (RKS)|s.|рисъ|рис|riisi|||||||||||||||
|rist|rist/e, -an, -ad; -uoid  ~ -oid (LMS 358)|s.|ристэ|крест|risti|veräjäle pand'ih riste pihan puolel, iraižel čural ||на воротах крест рисовали со стороны улицы, с внешней стороны|veräjälle piirrettiin risti ulkopuolelle, ulkoiselle puolelle|||||||||||
|ristemä|rist'/emä ~ -imä|s. yhd.|ристимя|крёстная, крёстная мать|kummi, naiskummi, kummitäti|||||||||||||||
heng, miez, ristittu|ristikanz|rist'i/kanz ~ -e|s. yhd.||человек|ihminen|||||||||||||||
heng, miez, ristikanz|ristittu|rist'i/ttü, -tün, -ttüd; -tüid|s.||человек; крещёный, христианин|ihminen, kristitty|||||||||||||||
|ristiža|rist'/ižä|s. yhd.|ристижя|крёстный, крёстный отец|kummi, mieskummi, kummisetä |||||||||||||||
|ristrihm|rist/rihme|s. yhd.|рист-ригмэ|гойтан, шнурок для креста, цепочка для креста|kaularistin kannatinnauha, kaularistin ketju|||||||||||||||сковородник
|rihm|rihme|s.||||||||||||||||||
|riäd|riädü, -n, -d; -id|s.|рияду|ряд|rivi|||||||||||||||
|riähk|riähke (LMS 56)|s.|рияхки|грех|räähkä, synti|||||||||||||||
|riähkäduda|riähkävü/dä, -n, -in|v.||грешить, согрешить|tehdä syntiä, langeta syntiin|riähkävün (RKS)|рияхкявюн|грешу|teen syntiä|||||||||||
|riäpöi|riäpüöi ~ (TP) riäpöi, -n, -d|s.|ряпюой|ряпушка|muikku|||||||||||||||
tulda|rodidakse|rod'i/dakse, rodih  ~ rod'ih (LMS 346), rodiiheze  ~ rodiheze ~ rod'iih ~ rod'ii (LMS 361)~ rod'iihez (OFM)|v. refl.||рождаться, появляться, хватать|syntyä, ilmestyä, tulla, riittää|minä rod'iimos Pühärves ||я родился в Святозере|minä synnyin Pyhäjärvellä|||||||||||
|rodidakse||v. refl.||||minä en rod'inuh Vield'ärves ||я родился не родился в Ведлозере|minä en ole syntynyt Vieljärvellä|||||||||||
|rodidakse||v. refl.||||hural kädel rodih||по левую руку будет|vasemmalla puolella tulee|||||||||||
|rodidakse||v. refl.||||rod'ih täks päiväd külläl (LMS 316)||хватит на сегодняшний день с избытком|riittää täksi päivää kylliksi|||||||||||
|rodidakse||v. refl.||||häin rod'iihez ||она родилась|hän syntyi|||||||||||
|rodidakse||v. refl.||||täss küläs rod'iiheze||он в этой деревне родился|tässä kylässä syntyi|||||||||||
|rodidakse||v. refl.||||rodiheze kolhozad||появились колхозы|tulivat kolhoosit|||||||||||
vahnembad|roditel'ad|roditel'at (RKS)|s. yhd.|родителят|родители|vanhemmat|||||||||||||||
vähä|rodu|rodu, -n, -d|s.|роду|порода (RKS); род|rotu; suku, sukulaiset; vähä (Sn)|||||||||||||||
kalarokk, kapustrokk|rokk|ro/kke, -kan, -kkad|s.|роккэ|уха, щи|kalakeitto (Kj, Ph), kalaliemi; kaalikeitto|rokkad (RKS)|роккат|(кушать) щи|kaalikeittoa|||||||||||
|rokko|ro/kko, -kon, -kkod|s.|рокко|мозоль|känsä|||||||||||||||
|liharokk|liha/rokke|s. yhd.||мясной суп, мясные щи (RKS)|lihakeitto, liharokka|||||||||||||||
