synonyymit|määrittely|hakusana|murremuodot|venäjännös|suomennos|1. esimerkki|venäjännös|suomennos|2. esimerkki|venäjännös|suomennos|||
|s.|past|past, -an, -ad|паста|tahna|||||||||
|v.|paštuda|paštu/da, -b, -i; -taze, -t’ihe|загорать|paistua, ottaa aurinkoa|rubeta paštumaha|начать загорать|alkaa ottaa aurinkoa||||||
|a.|paštunu|paštunu, -den, -t; -z’iin, -z’iid|загорелый|paistunut|||||||||
pilkeh, tipp II|s.|pätn|pätn, -an, -ad|пятно|täplä|||||||||
pilkeh, tipp II, täpn|s.|täpn|t'äpn, -an, -ad (KTK)|пятно|täplä, pilkku|||||||||
pätn|s. dem.|pätnäine|pätna/an’e, -ažen, -št; -ažiin, -ažiid|пятнышко; родинка|täplä (pieni); syntymämerkki, luomi|||||||||
|s.|patriarh|patr’iarh, -an, -ad|патриарх|patriarkka|||||||||
|s.|patriot|patr’iot, -an, -ad|патриот|patriootti|||||||||
|s.|patron|patron, -an, -ad|патрон|patruuna|||||||||
|s.|patrul’|patrul’, -an, -ad|патруль|partio|||||||||
|s.|pavill’on|pavil’jon, -an, -ad|павильон|paviljonki|||||||||
mezijaine|s.|pčola|pčol/a, -an, -ad; -iin, -iid|пчела|mehiläinen|||||||||
kleim|s.|pečat’|pečat’, -in, -id; -iin, -iid|печать (организации)|leima|||||||||
painada, pečatoita|v.|pečatoida|pečatu/uda ~ -oda, -ub ~ -ob, -u ~ -o; -utaze ~ -otaze, -ut’ihe ~ -ot’ihe (KTK)|печатать, напечатать, запечатать|painaa, sinetöidä|||||||||
|s.|pečenij|pečen'ij, -an, -ad|печенье|keksi|||||||||
|s.|pedal’|pedal’, -in, -id; -iin, -iid|педаль|poljin|||||||||
|s.|pediatr|pediatr, -an, -ad|педиатр|pediatri|||||||||
|adv.|pehmedemb|pehmdemb|мягче|pehmeämpi|||||||||
|a. yhd.|pehmedsüdamelline|pehmet/s’üdamel’iin’e|мягкосердечный|pehmeäsydäminen|||||||||
|v.|pehmeta II|pehm/eta, -nob, -en'|размякнуть|pehmetä|||||||||
|s.|peitand|peitand, -an, -ad|утайка|salaaminen|||||||||
|adv.|peitoči|peituuči|тайно, украдкой, втайне, тайком, исподтишка, нелегально|salaa|i peituuči ei pagištud n'i mida (ND) kirj.|и тайно не говорили ничего|eikä salassa ole puhuttu mitään||||||
peitoči|adv.|peitoižin|peituučiin (IL)|скрытно, тайно|salaa|kuundel’ta peituučiin (IL)|подслушивать|kuunnella salaa||||||
|s.|peitoižile|peituužiil’e|в жмурки (игра)|sokkosilla|||||||||
|s. yhd.|peitsija|peit/s’ija|убежище, тайник|piilopaikka|||||||||
|s.|pekarn’|pekarn’, -an, -ad|пекарня|leipomo|||||||||
leibanpaštaj, paštaj|s.|pekar’|pekar’|пекарь|leipuri|||||||||
kabal, ripak|s. mon.|pelenad|pel’en/ad, -uun, -uud|пелены|käärinliinat|i n’ägii – ühted pel’enad virutaze (ND) kirj.|и видит одны пелены лежащие |ja katseli siellä olevia käärinliinoja||||||
|s. mon.|pelenad||||i painuuhe, n'ägišt’ virujad pel'enad, no ei hašn'inu (ND) kirj.|и наклонившись увидел лежащие пелены, но не вошёл|hän kurkisti sisään ja näki käärinliinojen olevan siellä, mutta hän ei mennyt sisälle||||||
kabal, ripak|s. mon.|pel’onkad|pel’onk/ad, -uun, -uud|пелёнки|rievut|||||||||
|s. mon.|pelmenid|pel’men’i/d, -in, -id|пельмени|pelmenit|||||||||
|s.|pelvaz|pelv/az, -han, -ast; -hiin, -hiid|лён|pellava|||||||||
|s.|pelvaz-|pelvaz-|льняной|pellava-|||||||||
|s.|pera|pe/ra, -ran, -rad; -r'iin, -r'iid|корма, зад; ушко|perä|||||||||
|s.|peredačik|per’edatčik, -an, -ad|передатчик|lähetin|||||||||
|s.|perednik|per’edn’ik, -an, -ad|фартук|esiliina|||||||||
|a.|perehelline|perehel’i/in’e, -ižen, -št; -ižiin, -ižiid|семейный|perheellinen|||||||||
|s. yhd.|perehenižand|perehen/ižand|семьянин|perhemies|||||||||
|v.|pereživaida|per’eživa/ada, -ab, -a; -ataze, -at’ihe|переживать|murehtia|||||||||
kiändüz|s.|perevod|perevod, -an, -ad; -uun, -uud|перевод|käännös|perevodan siäd' Tabunov (ND) kirj.|перевод сделал Табунов|käännöksen teki Tabunov||||||
|s.|pergand|pergand, -an, -ad|избиение|lyöminen|||||||||
|s. yhd.|pergandkoht|pergant/koht|место побоев, побои|lyömäkohta|||||||||
|s.|perin|per’in, -an, -ad|перина|höyhenpatja|||||||||
künä|s.|pero|pero, -n, -d (KTK)|перо|kirjoituskynä|||||||||
|a.|peskuhine|peskuhi/in’e, -ižen, -št; -ižiin, -ižiid|песчаный|hiekka-|||||||||
onduz|s.|peššer|peššor, -an, -ad|пещера|luola|||||||||
|adv.|petkos|pet’kos|случайно|sattumalta|||||||||
lapp I|s.|pietl’|petl’, -in, -id; -iin, -iid|петля|lenkki, silmukka|||||||||
piä I|s. dem.|piähüd|piähu/t, -den, -tt; -z’iin, -z’iid|головка|pää (pieni)|||||||||
|s. yhd.|piälagi|piä/lagi|темя, макушка (головы)|päälaki|||||||||
|s. yhd.|piäletulend|piäl’e/tul’end|нападение, набег|hyäkkäys|||||||||
|s.|piälik|piäl’ik|главарь|päällikkö, pomo, johtomies|||||||||
|a.|piälimaine|piäl’im/aan'e ~ -ään'e, -aažen ~ -ääžen, -ašt ~ -äšt; -aažiin ~ -ääžiin, -aažiid ~ -ääžiid  |верхний; главный|ylempi, yläpuolinen; pääasiallinen, pää-, keskeinen|||||||||
|s.|pianin|pian’in/o, -on, -od; -uun, -uud|пианино|piano|||||||||
|s. yhd.|piänkibu|piän/kibu|головная боль, мигрень|päänsärky|||||||||
|s. yhd.|piänpuol’|piäm/puol’|изголовье|päänpuoli|||||||||
|v.|piärmida|piärmda|окаймлять|reunustaa, reunata|||||||||
piäsköihud|s.|piäsköi|piäskuu ~ piäsküü ~ piäskuo, -n, -d|ласточка|pääskynen|||||||||
piäsköi|s. dem.|piäsköihud|piäskuuhu/t, -den, -tt; -z’iin, -z’iid (LMS 320)|ласточка (маленькая)|pääskynen (pieni)|||||||||
|s.|piästäj|piästaj, -an, -ad|избавитель|vapahtaja|||||||||
|s.|piäständ|piästand, -an, -ad|избавление|vapauttaminen|||||||||
|a.|piästänu|piäsnu, -den, -t; -z’iin, -z’iid|пустивший|päästänyt, laskenut|piäsnu d’uured (IL)|пустивший корни, укоренившийся|juurtunut, vakiintunut||||||
|s.|piästünd|piästund, -an, -ad|избавление|vapautuminen|||||||||
|a.|piäzematoi|piäzmat/uu, -oman, -omad; -omiin, -omiid|непролазный|pääsemätön|||||||||
|s.|piäzünd|piäzund, -an, -ad|спасение|pelastus|||||||||
|s.|Piätnič|Piätn'ič, -an, -ad|Параскева Пятница (28.10./10.11.), День преподобномученицы Параскевы Пятницы| Paraskenpäivä (26.7./8.8.)|Mecuon'iemem Piätn'ič|Параскева Пятница деревни Мошничье|Metsoinimen Paraskenpäivä||||||
|s. yhd.|Ill'anpiätnič|Ill'am/piätn'ič|Ильинская пятница, пятница накануне Ильина дня|viimeinen perjantai ennen iljanpäivää|||||||||
|v. yhd.|mieles-pidada|miel’es/pidada|любить|rakastaa|||||||||
|v. mom.|pidaita|pidaa/ta, -dab, -ž ~ -žii; -taze, -t’ihe|подержать, удержать, потратить|pitää, kuluttaa|pidaata kodvaan’e (IL)|подержать недолго, воспользоваться|pitää hetki, käyttää hyväkseen||||||
|a.|pidelič|pidel’ič|продолговатый|pitkähkö|||||||||
piil|s.|piiluine|piilu/in’e, -ižen, -št; -ižiin, -ižiid (KTK) ~ piel/uun’e, -uužen, -ušt; -užiin, -užiid (IL)|щель, щёлка|rako, väli|||||||||
pieluzpiälüz|s. yhd.|pieluzpiäline|(Pal) pielus/piään’e (IL)|наволочка|pieluksenpäällinen|||||||||
pieluzpiäline|s. yhd.|pieluzpiälüz|pielus/piäl’uz|наволочка|pieluksenpäällinen|||||||||
verai|s.|piha|piha, -n, -d (IL)|двор|piha|||||||||
|v.|pilkištada|pil’kiš/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|щурить|siristää|||||||||
|s.|pil’uul’|pil’ul’, -in, -id; -iin, -iid|пилюля|pilleri|||||||||
|s.|pilesos|pil’esos, -an, -ad|пылесос|pölynimuri|||||||||
|v.|pilkettada|pil’ke/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|мерцать|tuikkia|||||||||
|a. yhd.|pillansiädäj|pillan/s’iädaj|вредный; вредитель|haitallinen, vahingollinen; vahingontekijä, tuholainen|||||||||
|hn.|Pilat|Pilat, -an, -ad|Пилат|Pilatus|Pilat kir'it' natpis'in (ND) kirj.|Пилат написал надпись|Pilatus oli kirjoituttanut taulun||||||
|s.|pilot|pilot, -an, -ad|пилот|pilootti|||||||||
|a.|pilvekaz|pil’veka/z, -han, -st; -hiin, -hiid|ненастный|sateinen|||||||||
|a.|pilveksine|pil’ves’i/in’e, -ižen, -št; -ižiin, -ižiid|пасмурный|pilvinen|||||||||
pilventagaine; *-tagalline|a. yhd.|pilventagalline|pil’ven/tagal’iin’e|заоблачный|pilvien takainen|||||||||
|a. yhd.|*-tagalline||||pil’ventagal’iin’e|заоблачный|pilvien takainen||||||
pilvehine, pilvikaz|adv.|pilves|pil’ves|облачно; облачный, теневой|pilvistä; pilvinen, varjoisa|taivaz om pil’ves (KTK)|небо облачное|taivas on pilvinen||||||
|s.|taivaz||||taivaz om pil’ves (KTK)|небо облачное|taivas on pilvinen||||||
|adv.|pilves||||päiv om pil’ves (KTK)|день облачный|päivä on pilvinen||||||
|s.|päiv||||päiv om pil’ves (KTK)|день облачный|päivä on pilvinen||||||
|v.|pimeta|pime/ta ~ püme/ta (KTK), -nob, -n’ ~ -n’ii; -taze, -t’ihe|темнеть, меркнуть, потемнеть, стемнеть|pimeta|||||||||
|s.|pincet|pincet, -an, -ad|пинцет|atulat, pinsetit|||||||||
|s.|pind|pind, -an, -ad; -uun, -uud|поверхность, верхний стой|pinta|||||||||
|s. yhd.|pindmua|pind/mua (KTK)|посчва, верхний слой земли|maaperä, maakerros|||||||||
pitt, vitt|s.|pindž|pind’ž, -un, -ud; -uin, -uid|вульва|vulva|||||||||
|s.|pipetk|pipetk, -an, -ad|пипетка|tiputin, pipetti|||||||||
|s.|pirožnoi|pirožn/ij, -uun, -uud |пирожное|leivos, torttu|||||||||
|s.|pirs|pirs, -an, -ad|пирс|puulaituri|||||||||
|s.|pistolet|pistol’et, -an, -ad|пистолет|pistooli|||||||||
|adv.|pitkaižesti|pitkaažest’i|протяжно|pitkälti|||||||||
|s. yhd.|pitkd’alg|pit’k/d’aug|длинноногий|pitkäjalkainen|||||||||
*-igaine|a. yhd.|pitkigaine|pit’k/igaan’e|долговечный, долголетний|pitkäikäinen|||||||||
vihanpidaj|a. yhd.|pitkvihaine|pit’k/vihaan’e|злопамятный|pitkävihainen|||||||||
|s.|pitomnik|pitomn’ik, -an, -ad|питомник|taimitarha, taimisto|||||||||
|s.|pižam|pižam, -an, -ad|пижама|pyjama|||||||||
|s.|pjess|pjess|пьеса|näytelmä|||||||||
|s.|plackart|plackart, -an, -ad|плацкарт|maukuuvaunu|||||||||
|s. mon.|plafkad|plafkad, -uun, -uud|плавки|uimahousut|||||||||
|s.|plakat|plakat, -an, -ad|плакат|juliste|||||||||
|s.|planet|plan’et, -an, -ad|планета|planeetta|||||||||
|s.|plašš|plašš, -an, -ad|плащ|sadetakki|||||||||
|s.|plastik|plast’ik, -an, -ad|пластик|muovi|||||||||
lebu|s.|plastink|plast’ink, -an, -ad|пластинка, грампластинка|levy|||||||||
|s.|plastir’|plastir’, -an, -ad|пластырь|laastari|||||||||
|s.|platform|platform, -an, -ad|платформа|laituri|||||||||
|s.|pleda|pl'eda, -n, -d|плед|vaippa|||||||||
|s.|plenum|pl’enum, -an, -ad|пленум|plenumi|||||||||
|a.|pletittu|pl’ettu/d, -n, -d; -in, -id|плетёный|punottu|||||||||
|s.|plett’|pl’e/t’t’, -t'in, -t't'id; -t'iin, -t'iid|плётка, плеть|piiska, ruoska|||||||||
|v.|plettida|pl’e/t’ta ~ -tta, -t't'ib, -t'ii; -t'taze, -t't'ihe|плести, заплести|punoa, palmikoida, kutoa (virsuja)|pl'et'taze (KTK)|заплетут|palmikoidaan|pl'et't'ihe (KTK)|заплели|palmikoitiin|||
punoda|v.|plettida||||eik sizared onnakko pl'ett'i vaa ked? (OF) |не сёстры ли однако плели (косы) или кто?|eivätkö sisaret palmikoi vai ketkä?||||||
|v. refl.|plettidakse|pl’et’/takse, -iže, -iihe(ze)|заплетаться, плестись|laahustaa|||||||||
|s.|plieš|pl’ieš, -in; -id; -iin, -iid|лысина, плешь|kalju|||||||||
|s. yhd.|pliešpiä|pl’ieš/piä|лысый, плешивый; плешь|kaljupää|||||||||
|s.|pliit|pl’iit, -an, -ad; -uun, -uud|плита|hella|||||||||
|s.|plok|plo/kk, -kun, -kkud (KTK)|щелчок|näpäys, napaus|||||||||
|v. frekv.|plokutelta|plokute/l’da, -l’ob, -l’ ~ -l’ii (KTK)|щёлкать|näpsäytellä, naksahdella|||||||||
placc|s.|plošad’|plošad’, -in, -id; -iin, -iid|площадь|aukio|||||||||
tander|s.|plošatk|plošatk, -an, -ad; -uun, -uud|площадка|kenttä|||||||||
salbado|s.|plotin|plot’in, -an, -ad; -uun, -uud|плотина|pato|||||||||
kirvezmiez|s.|plotnik|plotn’ik, -an, -ad; -uun, -uud|плотник|kirvesmies|||||||||
huabuz|s.|pluan|pluan, -an, -ad; -uun, -uud|план|suunnitelma|||||||||
|s.|pluat’|plua/t'ij ~ (Yl) plua/t', -t't'an,-t't'ad|платье|mekko, leninki|(Yl) šulkuin’e pluat’ |шёлковое платье|silkkinen mekko||||||
raudadr|s.|pluug|pluug, -an, -ad; -iin, -iid|плуг|aura|||||||||
gostittada|v.|poččuida|potču/ida, -ib, -i; -itaze, -it'ihe (IL)|угостить, потчевать|kestittää|||||||||
arvostada|v.|počitaita|počitaata (IL)|чтить|kunnioittaa|||||||||
počč, počinpoigaine|s. dem.|počiine|poči/in'e ~ poččin'e (KTK), -žen, -št, -žiin, -žiid|свинка, поросёнок|sika (pieni), porsas|||||||||
počiine, počinpoigaine; počinpoigad|s. yhd.|počinpoig|počim/poig|поросёнок|porsas|počimpoigad opt’ihe, sen päivän töl’l’öt’ihe laul.|поросята поробовали, в тот (же) день сдохли |porsaat maistoivat, sinä päivänä kuolivat||||||
počinpoig; počinpoigaižed|s. yhd. mon.|počinpoigad|počim/poigad|поросята|porsaat|počimpoigad opt’ihe, sen päivän töl’l’öt’ihe laul.|поросята поробовали, в тот (же) день сдохли |porsaat maistoivat, sinä päivänä kuolivat||||||
 počinpoigaine; počinpoigad|s. yhd. mon.|počinpoigaižed|počim/poigaažed|поросята, поросятки|porsaat (pienet)|||||||||
počiine, počinpoig; počinpoigaižed|s. yhd. dem.|počinpoigaine|počim/poigaan'e|поросёнок, поросёночек|porsas (pieni)|||||||||
hiiroi, südämmunaine|s.|počk|počk, -an, -ad; -iin, -iid|почка (орган)|munuainen|||||||||
počk|s.|počkad|počk/ad, -iin, -iid (KTK)|почки (органы)|munuaiset|||||||||
lahd'oda, lahd'ottada|v.|podarida|podar’i/da, -b, -i; -taze, -t’ihe|дарить, подарить|lahjoittaa|podar'itaze|дарят|lahjoitetaan|podar'it'ihe|подарили|lahjoitettiin|||
pordahad|s.|poddezd|podjezd, -an, -ad; -uun, -uud|подъезд|rappukäytävä|||||||||
kuarzin|s.|podval|podval, -an, -ad; -uun, -uud|подвал|kellari|||||||||
|s. mon.|pogonad|pogon/ad, -uun, -uud|погоны|olkaimet|||||||||
rajamiez|s.|pograničnik|pogran’ičn’ik, -an, -ad; -uun, -uud|пограничник|rajanvartija|||||||||
|adv. yhd.|pohd’ahsai|pohd’aha/saa|до дна|pohjaan saakka|||||||||
|s.|pohod|pohod, -an, -ad|поход|retki|||||||||
poikki, puolekkahin|adv.|poikkižin|poikhiin|поперёк|poikittain, poikki|d’uoksta poikhiin (IL)|перебегать|juosta poikki||||||
piäliči, poikkižin, puolekkahin|adv.-adp.|poikki|poiki ~ poikki|поперёк, пополам, через|poikki, poikittain, poikkipäin, poikkipuolin|poikki d'ärves (~ d’oges) kod'iin'e laul.|через озеро (реку) - домик|poikki järven (joen) on pieni talo||||||
rauh, spokoi|s.|pokoi|pokoj, -an, -ad|покой|rauha|||||||||
rauh, pokoi|s.|spokoi|spokoj, -an, -ad (KTK)|покой|rauha|anda mil'ie spokoi! (KTK)|дай мне покой!|anna minulle rauha!||||||
kuolij|s.|pokoinik|pokuun’ik ~ pokoin'ik (KTK), -an, -ad; -uun, -uud|покойник|vainaja|pominuuta pokoin'ikad (KTK)|поминать покойника|muistella vainajaa||||||
muštelta, muštoitelta, pominoida|v.|pominoita|pominuu/ta, -čob, -č ~ -čii; -taze, -t’ihe (KTK)|поминать|muistella, pitää muistajaisia|pominuuta pokoin'ikad (KTK)|поминать покойника|muistella vainajaa||||||
halmeh|s.|pol’ank|pol’ank, -an, -ad; -uun, -uud|поляна|aho|||||||||
n'aba|s.|pol’us|pol’us, -an, -ad|полюс|napapiiri|||||||||
|v.|pölgästada|(Pal) pel’gäs/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|напугать|pelästyttää|||||||||
|v. frekv.|pölgätelta|pöl’gäte/l’da ~ (Pal) pel’gäte/l’da, -l’ob, -l’ ~ -l’ii|отпугивать, спугивать|pelästytellä|||||||||
|s.|pölgätuz|(Pal) pel’gätu/z, -sen, -st; -s’iin, -s’iid|испуг|pelästys|||||||||
pölgöitez, torop|s.|pölgätez|pöl’gäte/z ~ (Pal) pel’gätu/z, -sen, -st; -s’iin, -s’iid|пугало, чучело|pelätin|||||||||
|s.|poltand|poutand, -an, -ad|сожжение, сжигание; жжение, изжога|poltto, polttaminen|||||||||
|a.|poltettu|pouttu/d, -n, -d|жжёный|poltettu|||||||||
|a.|pölühine|(Pal) pel’ühi/in’e, -ižen, -št; -ižiin, -ižiid|пыльный|pölyinen|||||||||
|s.|pomazei|pomaz’ei|фланель|flanelli|||||||||
tomat|s.|pomidor|pomidor, -an, -ad|помидор|tomaatti|||||||||
sigaret|s.|poperosk|poperosk, -an, -ad|папироса|savuke|||||||||
riäd|s.|por’atk|por’atk, -an, -ad|порядок|järjestys|panda por’atkaha (IL)|восстановить|panna järjestykseen||||||
|s.|porcij|porcij, -an, -ad|порция|annos|||||||||
|s.|pordimoi|por’muu ~ por'muo, -n, -d|горностай, ласка (Kj)|kärppä, lumikko (Kj)|||||||||
|s.|poro|por/o, -on, -od; -uun, -uud|щёлок|lipeä|||||||||
rodu|s.|porod|porod, -an, -ad|порода|rotu|||||||||
školalauk|s.|portfel’|portfel’|портфель|kirjalaukku|||||||||
|s.|portn’or|portn’or, -an, -ad|партнёр|partneri, kumppani|||||||||
|s.|portret|portr’et, -an, -ad|портрет|muotokuva|||||||||
ruadkülä |s.|pos’olk|pos’olk, -an, -ad|посёлок|asutuskeskus, kylä|||||||||
matkalaine|s.|possažir|possažir, -an, -ad|пассажир|matkustaja|||||||||
läs|adv.|pošti|pošt’i|почти|melkein|||||||||
alust, aluz|s.|potklatk|potklatk, -an, -ad; -uun, -uud|подкладка|vuori|||||||||
|s.|potkov|potkov, -an, -ad|подкова|hevosenkenkä|||||||||
alust|s.|potstafk|potstafk, -an, -ad; -uun, -uud|подставка|alusta|||||||||
|s.|potsvečnik|potsvečn’ik, -an, -ad|подсвечник|kynttilänjalka|||||||||
|s. mon.|pott’aškad|pott’ašk/ad, -uun, -uud|подтяжки|henkselit|||||||||
side|s. |poväsk|pov’ask, -an, -ad|повязка|side|||||||||
huiged|s.|pozor|pozor, -an, -ad (KTK)|позор|häpeä|||||||||
palo|s.|požar|požar, -an, -ad; -uun, -uud|пожар|tulipalo|požaran aigana |во время пожара|tulipalon aikana||||||
|s.|pozicij|poz’icij, -an, -ad; -uun, -uud|позиция|positio, asema|||||||||
|s.|pozitiv|poz’it’iv, -an, -ad; -uun, -uud|позитив|positiivi|||||||||
|s.|pračečnoi|pračečn/ij, -uun, -uud |прачечная|pesula|||||||||
|s.|preiskurant|pr’eiskurant, -an, -ad|прейскурант|hinnasto|||||||||
|s.|premij|premij, -an, -ad; -uun, -uud|премия|palkkio|||||||||
|s.|press|press, -an, -ad|пресса|pressa, media|||||||||
|s.|pretendent|pr’et’end’ent, -an, -ad; -uun, -uud|претендент|ehdokas|||||||||
|s.|prezentacij  |pr’ez’entacij, -an, -ad; -uun, -uud  |презентация|presentaatio|||||||||
|s.|prezident|pr’ez’ident, -an, -ad; -uun, -uud|президент|presidentti|||||||||
|s.|prezidium|pr’ez’id’ium, -an, -ad|президиум|presidiumi|||||||||
|s.|priboi|pr’iboj, -an, -ad|прибой|tyrskyaallokko|||||||||
|s.|pribor|pr’ibor, -an, -ad|прибор|laite|||||||||
|s.|pricep|pr’icep, -an, -ad|прицеп|perävaunu|||||||||
|s.|primer|pr’imer, -an, -ad|пример|esimerkki|||||||||
|s.|primet|pr’imet, -an, -ad|примета|enne|||||||||
|s.|pripev|pr’ipev, -an, -ad|припев|kertosäe|||||||||
|s.|pristan’|pr’istan’, -in, -id; -iin, -iid|пристань|laivalaituri|||||||||
|s.|pristup|pr’istup, -an, -ad|приступ|pääsy; kohtaus|||||||||
|s.|prival|pr’ival, -an, -ad|привал|lepotauko|||||||||
|s.|procent|procent, -an, -ad|процент|prosentti|||||||||
|s.|professij|profes’s’ij, -an, -ad|профессия|ammatti|||||||||
|s.|professor|professor, -an, -ad|профессор|professori|||||||||
|s.|profsojuz|profsojuz, -an, -ad|профсоюз|ammttiliitto|||||||||
|s.|progul|progul, -an, -ad|прогул|poissaolo|||||||||
|s.|projekt|projekt, -an, -ad|проект|projekti, luonnos|||||||||
(diättäda) hüvästid; prostida|v. refl.|prostidakse|pros/takse, -t'iže, -t'iihe(ze) (KTK)|прощаться, проститься|hyvästellä, jättää hyvästit|||||||||
proim|s. mon.|proimad|proim/ad, -iin, -iid (KTK)|лямки|viilekkeet, olkahihnat|||||||||
proimad|s.|proim|proim, -an, -ad; -iin, -iid (KTK)|лямка|viileke, olkahihna|||||||||
|s.|propadind|propad’ind, -an, -ad|падёж|kaato|||||||||
andegeks, prostind|s.|proškend’|proškend’, -an, -ad|прощение|anteeksianto, anteeksipyyntö|kaik oma suadud proškend’ad hänes tagaači (ND) kirj.|все через него получили прощение|kaikki ovat saaneet anteeksi hänen kauttansa||||||
hüvästi, nägemišt|interj.|proššaigat|proššaagat|до свидания, прощайте|näkemiin, hyvästi|||||||||
(anta) andegeks|v.|prostida|pros’/ta ~ -tta, prost'ib, prost'ii; -taze, -t’ihe|прощать, простить, извинить|antaa anteeksi|prost'i mindaa!|прости меня!|anna minulle anteeksi!||||||
üks’kierdaine|adv.|prost|prost|просто|yksinkertaisesti, yksinkertaista, helppoa|||||||||
muga, üks’kierdaine|a.|prostoi|prost/ij, -uun, -uud |наивный|yksinkertainen|||||||||
andegeks, proškend’|s.|prostind|prost’ind, -an, -ad|прощение|anteeksianto, anteeksipyyntö|pakita prost’indad|просить прощения|pyytää anteeksi||||||
|s.|protez|protez, -an, -ad; -uun, -uud|протез|proteesi|||||||||
|s.|protimb|prot’imb (KTK) ~ prot’imn’ (IL), -an, -ad; -uun, -uud|противень|leivinpelti|pašta piirgat prot’imbal (KTK)|испечь пироги на противне|paistaa piirakat leivinpellillä||||||
|s.|protokol|protokol, -an, -ad|протокол|pöytäkirja|||||||||
|s.|provolok|provolok, -an, -ad|проволока|rautalanka|||||||||
|s. yhd.|pruaznikpäiv|pruazn’ik/päiv|праздничный день|juhlapäivä|||||||||
pruaznuita|v.|pruaznuida|(Pal) pruaznu/ida, -ib, -i; -itaze, -it'ihe|праздновать|juhlia|||||||||
pruaznuida|v.|pruaznuita|pruaznui/ta,-čob, -č ~ -čii; -taze, -t’ihe|праздновать|juhlia|pruaznuičim Veder’is’t’iman, Äjapäivän|мы праздновали Крещение, Пасху|vietimme loppiasita, pääsiäistä||||||
|s.|pružin|pružin, -an, -ad; -uun, -uud|пружина|jousi|||||||||
|s.|psihiatr|ps’ihiatr, -an, -ad|психиатр|psykiatri|||||||||
|a.|puaks|puaks, -un, -ud; -uin, -uid|частый|tiheä|puaks s'iegl (KTK)|сито, частое решето|tiheä seula||||||
puakus(ti)|adv. dem.|puaksuižes(ti)|(Pal) puaksuužes ~ -t'i|частенько, зачастую|usein, melko usein, useimmiten|||||||||
|s.|puamätnik|pam’atn’ik, -an, -ad|памятник|muistomerkki|||||||||
|adv.|puaraižin|puaraažiin|попарно|pareittain|||||||||
|a.|puaralline|puaral’i/in’e, -ižen, -št; -ižiin, -ižiid|парный|parillinen, pari-|||||||||
|s.|puarm|puarm, -an, -ad; -uun, -uud|слепень, овод|paarma|puarmad|слепни, оводы|paarmat||||||
piil, vana|s.|puaz|puaz|паз, щель|lovi, rako, liiterako|||||||||
|s.|publik|publ’ik, -an, -ad|публика|yleisö|||||||||
|s.|pučk|pučk, -an, -ad|пучок|nippu|||||||||
|s.|pudr I|pudr, -an, -ad|пудра|puuteri|||||||||
|v. mom.|puhaita|puhaa/ta, -dab, -ž ~ -žii; -taze, -t’ihe|дунуть|puhaltaa|||||||||
peskuhine|s. yhd.|maidnedal'|maid/n'edal'|масленичная неделя, масленица|laskiaisviikko, lihaton viikko|||||||||
|s. yhd.|maidpühälask|mait/pühä/lask|сыропустная неделя|maidoton laskiasviikko|||||||||
|s. yhd.|lihapühälask|liha/pühä/lask|мясопустная неделя|lihaton laskiasviikko|||||||||
|s. yhd.|Suur'pühä|suur'/pühä|Великий пост|pääsiäispasto|||||||||
|s. yhd.|pühälask|pühä/lask|масленица|laskiainen|pühälaskun (PN)|в масленицу|laskiaisena||||||
|s.|puhetuz|puhetu/z, -sen, -st; -s’iin, -s’iid|заговор|loitsu|||||||||
|adv. dem.|puhtahaižesti|puhthaažest’i ~ puhtaažest’i|чисто|puhtaasti|||||||||
|adv.|puhtahaks|puhthaks ~ puhtaks|начисто, дочиста, набело|puhtaaksi|(Pal) s’iäta puhtaks|вычистить|puhdistaa||||||
|a. yhd.|puhtazverine|puhtaz/ver’iin’e|чистокровный|puhdasverinen|||||||||
|v.|puhuda|puhu/da, -n, -in; -b, -i; -taze, -t’ihe|дуть, раздувать, надуть; сеять  дутьём|puhaltaa, täyttää ilmalla;  kylvää puhaltamalla, kylvää sylkemällä|nagris s’iemetä, puhuda (LMS 258)|репу сеять, дуть|kylvää naurista puhaltamalla||||||
|s.|pulemöt|pul’em’ot, -an, -ad|пулемёт|konekivääri|||||||||
|s.|pulk|pul’k, -an, -ad: -iin, -iid|пуля|luoti|||||||||
|s.|puls|pul’s, -an, -ad|пульс|pulssi|||||||||
|s.|punkt|punkt, -an, -ad|пункт|kohta|||||||||
|num. yhd.|puol’tošt|puol’/tošt|полтора|puolitoista|||||||||
poikki, poikkižin|adv.|puolekkahin|puol’ekahiin|пополам|puolittain, kahtia (tasan)|||||||||
|adv.|puoleks|puol’eks|наполовину|puoleksi|||||||||
|v. frekv.|puolendelta|puol’ende/l’da, -l’ob, -l’ ~ -l’ii|убавлять|vähentää|||||||||
|postp.|puoles|puol'es|за|puolesta|||||||||
|v.|puoleta I|puol’e/ta, -ndab, -nd’ž ~ -nd’žii; -taze, -t’ihe|убавлять, убавить, снижать, снизить, сбавлять, сбавить, отбавлять, отбавить |vähentää|||||||||
|s.|puoletuz|puol’etu/z, -sen, -st; -s’iin, -s’iid  (IL)|убавка|vähennys|||||||||
