v.	maksada	maksta	оплатить				
s.	korv	korv	ухо		anta korval’e	дать по уху, дать оплеуху	
s.	müöhästuz	müöhästuz	опоздание				
v.	müöhästuda	müöhästuda	опоздать				
v.	huigaita	huigaatta (IL)	опозорить				
s.	tugi	tugi	опора				
v.	küzelta	küz’el’ta	опрашивать				
v.	kuata	kuata	опрокидывать				
v.	kumaita	kumaata	опрокидывать				
v.	küzelta	küz’el’ta	опросить				
a.	puhtaz	puhtaz	опрятный				
adv.	tukul	tukul	оптом				
adv.	kogol	kogol	оптом				
adv.	alahaks	alahaks	вниз		panda alahaks	опускать	
v.	paižottada 	paižotada ~ paižetada 	раздувать, вызывать опухоль		paižetab	раздувает	
v.	paižoda	paižoda	опухать				
s.	paiže	paiže	опухоль				
a.	paižottanu	paižotanu	раздувший, вызвавший опухоль				
adv.	müöste	möst	опять				
s.	arttel’	art’el’	орава				
s.	orl	orl	орёл				
s.	kotkoi	kotkuu	орёл				
v.	kastelta	kastel’ta	орошать				
s.	amburijaine	(Pal) ambruja/an’e, -ažen, -št	оса				
s.	vol’a	vol’a	воля, свобода		piästa vol’al’e	освободить	
s.	kovažim	kovažim	оселок, точильный камень				
s.	sügüz-	(Pal) s’ügiz’-	осенний				
s.	sügüz	(Pal) s’ügiz’	осень				
s.	huab	huab	осина				
v.	hilleta	hil’l’eta	ослабевать				
v.	sogeta	sogeta	ослепнуть				
v.	kacelta	kacel’ta	осматривать				
v.	nagrada	nagrda	осмеивать				
v.	ruohtida	ruohta	осмелиться				
s.	ristikanz	r’ist’i/kanz	особа				
s. yhd.	šarahein’	šara/hein’	осока				
s.	rubi	rubi	оспа				
v.	diättäda	d’iätta	оставить				
v. refl.	azettudakse	azetudakse	останавливаться				
v. refl.	vard’oitakse	(Pal) vard’uudakse	остерегаться				
s.	tera	t’era	остриё				
v.	leikata	l’eikata	остричь				
s.	suarik	suar’ik	остров				
a.	terav	t’erav	острый				
v.	vilustuda	vilustuda	остывать				
v.	pahestida	pahest’ida (IL)	осуждать				
v.	kuivattada	kuivatada	осушать				
a.	ozav	ozav	счастливый		s’iäta ozavaks	осчастливить	
v.	langeta	langeta	осыпаться				
s.	oss’	os’s’	ось				
s.	otav	otav	отава				
v.	lämbittada	l’ämmitada	отапливать				
v.	puoleta	puol’eta	отбавлять				
s.	valičend	val’ičend	отбор				
a.	valittu	val’itud	отборный				
v.	lükäita	l’ükääta	отбросить				
a.	othodad	othodad	отбросы				
v.	koveta	koveta	отвердеть				
s.	vastand	vastand	ответ				
v.	viesata	viesuuta	отвешивать				
v.	avaita	avaata	отворить				
adv.	irdale	irdal’e	прочь		anta irdal’e	отдавать	
v.	edeta	edeta	отдалиться				
adv.	erže	erže	отдельно				
s.	heng	heng	дух		suada heng	отдышаться	
s.	kandand	kandand	отёл				
s.	tuat	tuat	отец				
s. yhd.	omamua	oma/mua	отечество				
v.	vahneta	vahn’eta	отживать				
s.	kajahtuz	kajahtuz	отзвук				
s.	otkaz	otkaz	отказ				
v. refl.	otkažidakse	otkažidakse	отказаться				
v.	süöttäda	s’üötta	откармливать				
adv.	bokkah	bokha ~ (Pal) bokkaha	в сторону		(Pal) panda bokkaha	откладывать	
s.	avaind	avaand	открытие				
adv.	kuspiä	kus/piä	откуда				
v.	haukaita	haukaata	откусывать				
v.	pesta	pesta	отплывать				
adv.	kaikkijalpiä	kaikijal/piä	отовсюду				
adv.	irdale	irdal’e	прочь, долой		kucta irdal’e	отозвать	
v.	rebittada	rebitada	оторвать				
v.	laihtuda	laihtuda	отощать				
v.	langeta	langeta	отпадать				
v.	avaita	avaata	отпереть				
v.	maksta	maksta	отплатить				
s.	vastaduz	vastavuz (IL)	отпор				
v.	tüötä	t’üöta	отправлять				
v.	pölgätelta	pel’gatel’da	отпугивать				
v.	piästäda	piästa	отпускать				
v.	kazvattada	kazvatada	отрастить				
s.	pala	pala	отрез				
v.	leikata	l’eikata	отрезать				
v.	pudištada	pud’ištada	отряхивать				
v.	ei-olda	ei/olda	отсутствовать				
adv.	tägäpiä	t’äga/piä	отсюда				
v.	ähkelta	ähkel’ta	отталкивать				
konj.	sikš	s’ikš	оттого				
v.	tülčeta	t’ül’četa	отупеть				
v.	särbäda	s’ärpta	хлебать, отхлёбывать				
a.	tuattahine	tuatahi/in’e, -ižen, -št	отцовский				
part.	mikš	mikš	отчего				
s.	tuatindam	tuatindam	отчим				
s.	üsk	üsk	ожапка				
v.	vilustuda	vilustuda	охладеть				
adv.	himol	himol	охотно				
v.	vard’oita	vard’uuta	охранять				
adv.	ülen	ül’en	очень				
v.	muurehtuda	muurehtuda	очерстветь				
s.	silmäd	s’il’mad	очи				
s.	obruč	obruč	обруч				
s.	opšežitij	opšežit’ij	общежитие				
s.	objekt	objekt	объект				
s.	objektiv	objektiv	объектив				
s.	objom	objom	объём				
s.	okorok	okorok	окорок				
s. yhd.	silmidenvračč	s’ilmiin/vračč	окулист				
s.	okurk	okurk	окурок				
s.	olempiad	ol’empiad	олимпиада				
s.	omlet	oml’et	омлет				
s.	andatr	andatr	ондатра				
s.	operacij	operacij	операция				
s.	operator	operator	оператор				
s.	oper	opera	опера				
s.	operet	operet	оперетта				
s.	opečatk	opečatk	опечатка				
s.	opis’	opis’	опись				
s.	optik	opt’ik	оптика				
s.	orden	ord’en	орден				
s.	orkestr	orkestr	оркестр				
s.	kortiine	kort’i/in’e, -ižen, -št	открытка				
s.	oficer	oficer	офицер				
s.	oficant	oficant	официант				
s.	očkad	očkad	очки				
s.	očk	očk	очко				
s.	pavill’on	pavil’jon	павильон				
s.	pad’ož	pad’ož	падёж				
s.	propadind	propad’ind	падёж				
s.	paha	paha	пагубный				
v.	langeta	langeta	падать				
s.	langedemine	lanktemi/in’e, -ižen, -št	падение				
a.	pajevij	pajevij	паевой				
s.	paju	paju	пай				
s.	paišik	paišik	паищик				
s.	paket	paket	пакет				
s.	palat	palat	палата				
s.	palatk	palatk	палатка				
s.	puaz	puaz	паз				
s.	šižal’	šižal’	пазуха				
s.	pakl’	pakl’	пакля				
s.	sorm	sorm	палец				
s.	palitr	pal’itr	палитра				
v.	polttada	poutta	палить				
s.	batog	batug (IL)	палка				
s.	palub	palub	палуба				
s.	palm	pal’m	пальма				
s.	palt	pal’to	пальто				
s.	ambund	ambund	пальба				
s.	mušt	mušto (IL)	память				
s.	muštand	muštend (IL)	памятка				
s.	puamätnik	pam’atn’ik	памятник				
s.	panik	pan’ik	паника				
s.	panoram	panoram	панорама				
s.	pansionat	pans’ionat	пансионат				
s.	tuat	tuat	папа				
s.	höür	(Pal) heir	пар				
s.	löül	l’öül’	пар				
s.	kaks’	kaks’	пара				
s.	puar	puar	пара				
s.	papk	papk	папка				
s.	paragraf	paragraf	параграф				
s.	parad	parad	парад				
s.	paralič	paral’ič	паралич				
s.	paralel’	paral’el’	параллель				
s.	parašut	parašut	парашут				
s.	prihač	prihač	парень				
s.	kihlad	kihlad	пари				
s.	parik	par’ik	парик				
s.	parihmaher	par’ikmaher	парикмахер				
s.	park	park	парк				
s.	parlament	parlament	парламент				
s.	parnik	parn’ik	парник				
a.	puaralline	puaral’i/in’e, -ižen, -št	парный				
s.	paravoz	paravoz	паровоз				
s.	parodij	parod’ij	пародия				
s.	parol’	parol’	пароль				
s.	parom	parom	паром				
s.	parohod	parohod	пароход				
s.	part	part	парта				
s.	parter	parter	партер				
s.	partizan	part’izan	партизан				
s.	partij	part’ij	партия				
s.	portn’or	portn’or	партнёр				
s.	puarus	parus	парус				
s.	parfümerij	parf’umer’ij	парфюмерия				
v.	paimeta	paime/ta, -ndab, -nd’ž	пасти				
s.	paimoi	paimuu	пастух				
a.	otettu	ottud	неродной		ottud poig	пасынок	
	hämähäkk	hämähäik, -un, -ud	паук		hämähäikun verk	паутина	
s.	niärv	n’iärv	пах				
s.	kündäj	(Pal) kindaj	пахарь				
v.	küntä	künta	пахать				
v.	haižuda	haišta	пахнуть				
s.	kündämine	kündmi/in’e, -ižen, -št	пахота				
a.	pilveksine	pil’ves’i/in’e, -ižen, -št	пасмурный				
s.	pašport	pasport	паспорт				
s.	possažir	possažir	пассажир				
s.	ajaj	ajaj	пассажир				
s.	past	past	паста				
s. yhd.	paimendsija	paiment/s’ija	пастух				
s. yhd.	äijäpäiv	äja/päiv	Пасха				
s.	patriarh	patr’iarh	патриарх				
s.	patriot	patr’iot	патриот				
s.	patron	patron	патрон				
s.	patrul’	patrul’	патруль				
s.	pacient	pacient	пациент				
s.	pačk	pačk	пачка				
s.	kogo	kogo	пачка				
v.	redustada	redustada	пачкать				
s.	peld	peld	пашня				
s.	pajattaj	pajataj	певец				
s.	pajonik	pajon’ik	певец				
v.	pajada	pajada	паять				
a.	kird’av	(Pal) kirjav	пегий				
s.	učitel’	učit’el’	педагог				
s.	pedal’	pedal’	педаль				
s.	pediatr	pediatr	педиатр				
s.	lapsidenvračč	laps’iin/vračč	педиатр				
s.	pekarn’	pekarn’	пекарня				
s.	leibanpaštaj	l’eibam/paštaj	пекарь				
s.	pelmenid	pel’men’id	пельмени				
s.	vuahte	vuahte ~ vuaht (IL)	пена				
s.	pajatand	pajatand	пение				
a.	vuahteksine	vuahtes’i/in’e, -ižen, -št	пенистый				
s.	penzij	penz’ij ~ pens’ij	пенсия		pens’ijal	на пенсии	
v.	kabaloita	kabaluuta	пеленать				
s.	pel’onkad	pel’onkad	пелёнки				
s.	kand	kand	пень				
v.	viäritada	viär’itada	пенять				
a.	palanu	palanu	горелый		palanu s’ija	пепелище	
s.	tuhk	tuhk	зола, пепел				
s. yhd.	pruaznikpäiv	pruazn’ik/päiv	праздничный день				
num.	ezmaine	ezma/an’e, -ažen, -št	первый				
s.	ezmaine	ezma/an’e, -ažen, -št	первенец				
adv.	poikin	poikiin	поперёк		d’uoksta poikiin	перебегать	
v.	valita	val’ita	перебирать				
v.	lükkida	l’ükta	бросать		l'ükta piäl’iči	перебрасывать	
v.	kielastada	kielastada	переврать				
v.	kielastelta	kielastel’da	перевирать				
v.	sidoda	s’idoda	перевязать				
v. refl.	kaceltakse	kacel’takse	передлядываться				
adv.	keskenah	kesknaze ~ kesnaze	между собой		pagišta kes(k)naze	переговариваться	
s.	peredačik	per’edatčik	передатчик				
a.	ezmaine	ezma/an’e, -ažen, -št	передний				
v.	hengahtuda	hengahtuda	передохнуть, сделать передышку				
v.	niärittada	n’iär’itada	дразнить, передразнивать				
v.	vuottada	vuotta	переждать				
v.	pereživaida	per’eživaada	переживать				
s.	talv	tauv	зима		olda tauv	перезимовать	
a.	küps’	küps’	зрелый		ül’en küps’	перезрелый	
v.	lükäita	l’ükääta	кинуть		l’ükääta piäl’iči	перекинуть	
v.	ristida	r’ista	крестить		r’ista s’il’mad	перекреститься	
s.	mecik	mecik	перелесок				
v.	katkaita	katkaata	переломать				
v.	d’auhoda	d’auhta	перемалывать				
adv.	uutasti	uutašt’i	снова, сначала		pesta uutašt’i	перемывать	
v.	olda	olda	быть		olda üöd	переночевать	
v.	redustada	r’edustada	перепачкать				
v.	pölgättada	(Pal) pel’gätada	перепугать				
v.	segoittada	s’eguutada	перепугать				
v.	kindittada	kind’itada	перетягивать				
s.	pipper’	pipper’	перец				
s.	ard	ard	перила				
s.	käzipuu	käz’i/puu	перила				
s.	perin	per’in	перина				
s.	aig	aig	период				
s.	sulg	suug	перо				
s.	koir	koir	пёс				
s.	pajoine	paj/uun’e, -uužen, -ošt	песенка				
s. yhd.	pajokniig	pajo/kn’iig	песенник				
s.	kivikala	kivi/kala	пескарь				
s.	pesk	pesk	песок				
a.	kird’av	(Pal) kirjav	пёстрый				
a.	peskuhine	peskuhi/in’e, -ižen, -št	песчаный				
s.	petl’	petl’	петля				
s.	kukoi	kukuu	петух				
s.	pajattada	pajatada	петь				
s.	pahamiel’	paha/miel’	печаль				
s.	maks	maks	печёнка				
s.	päčč	päčč	печка				
s.	päčnik	pečn’ik	печник				
s.	paštada	pašta	печь				
adv.	d’algai	d’augaa	пешком				
s.	pivo	pivo	пиво				
s.	pendžak	pend’žak	пиджак				
s.	pila	pila	пила				
v.	pilida	pil’ida	пилить				
s.	gostitand	gost’itand	пир				
v.	kird’uttada	kir’itada	писать				
s.	vingund	vingund	писк				
s.	kird’aine	kird’a/an’e, -ažen, -št	письмо				
s.	süötänd	s’üötand	питание				
v.	d’uoda	d’uoda	пить				
s.	d’uond	d’uond	питьё				
v.	tungeda	tunkta	пихать				
v.	liččoda	l’ičta	пихать				
s.	süömine	s’üömi/in’e, -ižen, -št	пища				
s.	ujund	ujund	плавание				
v.	ujuda	ujuda	плавать				
v.	sulata	sulata	сулата				
adv.	tazaižesti	tazaažest’i	плавно				
v.	itkeda	itta	плакать				
s.	itkuč	it’kuč	плакса				
s.	pečat’	pečat’	печать				
s.	pečenij	pečen’ij	печенье				
s.	peššer	peššer	пещера				
s.	pianino	pian’ino	пианино				
s.	pižam	pižam	пижама				
s.	pilot	pilot	пилот				
s.	pil’ul’	pil’ul’	пилюля				
s.	pincet	pincet	пинцет				
s.	pipetk	pipetk	пипетка				
s.	piirag	piirag	пирог				
s.	pirožnij	pirožnij	пирожное				
s.	pirs	pirs	пирс				
s.	kird’uttaj	kir’itaj	писатель				
s.	pistolet	pistol’et	пистолет				
s.	pitomnik	pitomn’ik	питомник				
s.	plafkad	plafkad	плавки				
s.	plakat	plakat	плакат				
s.	pluan	pluan	план				
s.	maksand	maksand	плата				
v.	maksada	maksta	платить				
s.	paik	paik	пайк				
s.	pluat’	pluatij	платье				
s.	itk	it’k	плачь				
s.	itkij	it’kij	плачущий				
s.	vacalleh	vacal’eze	плашмя				
v.	sülgeda	s’ül’ta	плевать				
s.	homeh	homeh ~ homeg	плесень				
v.	homehtuda	homehtuda	плесневеть				
v.	plettida	pl’etta	плести				
a.	pletittu	pl’ettud	плетёный				
s.	aid	aid	плетень				
s.	plett’	pl’et’t’	плётка				
s.	pliit	pl’iit	плита				
s.	planet	plan’et	планета				
s.	plastik	plast’ik	пластик				
s.	plastink	plast’ink	пластинка				
s.	plastir’	plastir’	пластырь				
s.	platform	platform	платформа				
s.	plackart	plackart	плацкарт				
s.	plašš	plašš	плащ				
s.	pleda	pleda	плед				
s.	plenum	pl’enum	пленум				
s.	olgpiä	ouk/piä	плечо				
s.	pliešpiä	plieš/piä	плечо				
s.	ujuj	ujuj	пловец				
s.	laut	laut	плот				
s.	särg	s’ärg	плотва				
s.	kindedaks	kintäks	плотно				
s.	plotin	plot’in	плотина				
s.	plotnik	plotn’ik	плотник				
adv.	paha	paha	плохо				
s.	plošatk	plošatk	площадка				
s.	plošad’	plošad’	площадь				
s.	pluug	pluug	плуг				
v.	ujuda	ujuda	плыть				
s.	külbendkoht	kül’bunt/koht (IL)	пляж				
v.	kargaita	kargaata	плясать				
s.	karg	karg	пляска				
adv.	vähäižil	vähääžiil	немножко		varaata vähääžiil	побаиваться	
s.	pago	pago	побег				
s.	rand	rand	побережье				
v.	pakita	pakita	побираться				
adv.	lähel	l’ähel	поблизости				
s. yhd.	pergandkoht	pergant/koht	место побоев, побои				
adv.	enambal	enambal	побольше				
s.	kävünd	(Pal) kävind	побывка				
v. refl.	breidakse	br’eidakse	побриться				
v.	sorta	sorta	повалить				
s.	keittaj	keitaj	повар				
s.	uskond	uskond	поверье				
v.	kuundelta	kuundel’ta	повиноваться				
v.	satattada	satatada	повредить				
pron.	d’oga	d’oga	каждый		d’oga päivän	каждый день, повседневно	
adv.	kaikkijal	kaikijal	повсеместно				
v.	sambuttada	sambutada	погасить				
v.	silittada	s’il’itada	погладить				
adv.	süvemba	s’üvemba	поглубже				
s.	siä	s’iä	погода				
s.	ilm	ilm	погода				
s.	palanu	palanu	погорелец				
v.	lämbittada	l’ämmitada	погреть				
v.	gul’aida	gul’aada	погулять				
v.	anta	anta	подавать				
v.	lökästuda	l’ökästuda	подавиться				
adv.	edembaks	edembaks	подальше				
s.	podark	podark	подарок				
s.	andamine	andami/in’e, -ižen, -št	подача				
v.	ližata	l’ižata	подбавить				
v.	kerata	kerata	подбирать				
v.	valita	val’ita	подбирать				
s.	valičend	val’ičend	подбор				
s.	leug	l’eig	подбородок				
s.	podval	podval	подвал				
adv.	kaikkijal	kaikijal	повсюду				
s.	pogonad	pogonad	погоны				
s.	poväsk	pov’ask	повязка				
s.	pograničnik	pogran’ičn’ik	пограничник				
v.	sidoda	sidoda	подвязывать				
v.	kacelta	kacel’ta	подглядывать				
v.	valmištada	vaumištada	подготовить				
s.	abu	abu	поддержка				
s.	potklatk	potklatk	подкладка				
s.	potkov	potkov	подкова				
v.	huogištuda	huogištuda	подешеветь, дешеветь				
a.	huogištunu	huogištunu	подешевевший				
v.	vuotelta	vuotel’ta	поджидать				
a. yhd.	muanaluine	(Pal) muan/aluun’e	подземный				
v.	pühkida	pühkta	подмести				
s.	abu	abu	подмога				
s.	kainal	kainal, kainlon ~ kaimlon (IL)	подмышка		kaimlon al’l’e (IL)	под мышку	kainaloon
v.	vuottada	vuotta	подождать				
s.	lüpsreng	lüps’/reng	подойник				
s.	helm	helm	подол				
adv.	hätkemb	hät’kemb	подольше				
v.	kallištuda	kal’l’ištuda	подорожать				
s.	pohd’	pohd’	подошва				
s.	kuarzin	kuarz’in	подполье				
v.	hüppida	hüpta	подпрыгивать				
v.	kazvada	kazvda	подрастать				
v.	torata	torata	подраться				
adv.	peitoičin	peituučiin (IL)	скрытно, тайно		kuundel’ta peituučiin	подслушивать	
v.	abuttada	abutada	подсобить				
s.	levituz	l’evituz	подстилка				
v.	kuivahtuda	kuivahtuda	подсыхать				
v.	valuda	valuda	подтекать				
v.	pühkida	pühkta	подтереть				
v.	paheta	paheta	подурнеть				
s.	pieluz	pieluz	подушка				
adv.	puaksus	puaksus	подчас				
s.	nouzend	nouzend	подъём				
v.	hengittada	hengitada	подышать				
v.	žiälivoita	žiäl’ivuuta	пожалет				
a.	hüvä	hüvä	хороший		ol’e hüvä	пожалуйста	
s.	požaar	požaar	пожар				
v.	eläda	el’äda	пожить				
s.	huol’	huol’	забота		pidada huolt	позаботиться	
adv.	tagana	tagana	позади				
v.	kucuda	kucta	позвать				
v.	zvonida	zvon’ida	позвонить				
a.	müöhäine	müöhään’e	поздний				
adv.	müöhä 	müöhä 	поздно				
adv.	müöhemba	müöhemba	позже				
s.	huiged	huiged	позор				
s.	ečind	ečind	поиски				
adv.	todel	todel	поистине				
s.	d’uomine	d’uomi/in’e, -ižen, -št	пойло				
adv.	toižin	toižiin	по-другому				
s.	potsvečnik	potsvečn’ik	подсвечник				
s.	potstafk	potstafk	подставка				
s.	pott’aškad	pott’aškad	подтяжки				
s.	poddezd	podjezd	подъезд				
s.	pozitiv	poz’it’iv	позитив				
s.	pozicij	poz’icij	позиция				
s.	ozutand	oz’itand	показ				
v.	ozuttada	oz’itada	показать				
v.	ozutelta	oz’itel’da	показывать				
pron.	se	se	тот		s’ill aigal	покамест	
v.	diättäda	d’iätta	покидать				
s.	regi	regi	поклажа				
s.	kumarduz	kumarduz	поклон				
s.	pokoi	pokoi	покой				
s.	pokoinik	pokuun’ik	покойник				
v.	loppida	lopta	покончить				
adv.	lühüdembaks	l’ühembaks (IL)	покороче				
s. yhd.	niitandaig	n’iitand/aig	время сенокоса				
v.	rusketa	rusketa	покраснеть				
v.	kattada	katta	покрывать				
v. refl.	kattadakse	kattakse	покрываться				
adv.	kuni	kun’i	покуда				
v.	ostada	osta	покупать				
v.	süödä	s’üöda	покушать				
part.	puol’	puol’	пол-		puol’ vuot	полгода	
s.	peld	peld	поле				
adv.	kebdäižesti	kebd’aažest’i	полёгоньку				
s.	halg	haug	полено				
s.	lend	l’endo (IL)	полет				
v.	valelta	val’el’ta	поливать				
v.	sangeta	sangeta	полнеть				
s. yhd.	kesküö	kesk/üö	полночь				
s.	puol’	puol’	половина				
a.	suur’	suur’	большой		suur’ vez’i	половодье	
v.	panda	panda	положить				
s.	murenduz	murenduz	поломка				
s.	käzipaik	käz’i/paik	полотенце				
s.	palttin	paltin	полотно				
a.	palttinahine	palt’inahi/in’e, -ižen, -št	полотняный				
v.	kütkida	kütta	полоть				
num.	puol’tošt	puol’/tošt	полтора				
v.	suada	suada	получить				
s.	pol’z	pol’z	рольза				
s.	pol’ank	pol’ank	поляна				
adv.	vähäižin	vähääžiin	помаленьку				
adv.	vähemb	vähemb	поменьше				
v.	vajehtada	vajehtada	поменять				
s.	höšte	höšte	помёт				
v.	panda	panda	помещать				
s.	minut	minut	минута		d’oga minutal	поминутно	
v.	muštelta	muštel’ta	помнить				
v.	abuttada	abutada	помогать				
postp.	müöti	müöt’i	по-		mindaa müöt’i	по-моему	
v.	nuorištuda	nuor’ištuda	помолодеть				
s.	abunik	abun’ik	помощник				
s.	abu	abu	помощь				
adv.	vägel	vägel	поневоле				
s.	ezmažarg	ezmažarg	понедельник				
adv.	vähäižin	vähääžiin	понемногу				
s.	elgendamine	el’gendami/in’e, -ižen, -št	понимание				
v.	elgeta	el’geta	понимать				
s.	pask	pask	понос				
v.	painada	painda	клонить		painda piä	понурить	
v.	murginoita	(Pal) murn’uuta	пообедать				
adv.	puaraižin	puaraažiin	попарно				
adv.	poikin	poikhiin	поперёк				
adv.	puolekkahin	puol’ekahiin	пополам				
v.	ližata	l’ižata	пополнить				
v.	pakita	pakita	попросить				
s.	pakiččij	pakičij	попрошайка				
s.	müödäine	müöda/an’e, -ažen, -št	попутный				
s.	aig	aig	пора				
adv.	endemba	endemba	пораньше				
v.	rebittada	r’ebitada	порвать				
s.	leikkaduz	l’eikatuz (IL)	порез				
v.	leikata	l’eikata	порезать				
s	kündüz	künduz	порог				
s.	rodu	rodu	порода				
s.	porod	porod	порода				
s.	eriže	erže	порознь				
s.	viga	viga	порок				
s.	počč	počč	поросёнок				
v.	riiččida	r’iičta	пороть				
s.	hattar	hattar	портянка				
s.	pol’us	pol’us	полюс				
s.	huulidenkruask	huul’iin/kruask	помада				
s.	pomidor	pomidor	помидор				
adv.	poikin	poikhiin	поперёк				
s.	portret	portr’et	портрет				
s.	portfel’	portfel’	портфель				
s.	porcij	porcij	порция				
s.	por’atk	por’atk	порядок				
s.	pos’olk	pos’olk	посёлок				
adv.	keskel	keskel	посередине				
v.	ištuttada	ištutada	посадить				
s.	ištutand	ištutand	посадка				
v.	siništuda	s’in’ištuda	посинеть				
v.	libestuda	l’ibestuda	поскользнуться				
adv.	terambi	t’erambi	поскорее				
v.	tüötä	t’üöta	послать				
adv.	dälges	d’äl’ges	после				
a.	dälgimaine	d’äl’mään’e	последний				
a.	kuundelij	kuundel’ij	послушный				
v.	ruohtida	ruohta	посметь				
v.	suolata	suolata	посолить				
v.	kiirehtada	kiirehtada	поспешить				
adv.	keskel	keskel	посреди				
s.	pühä	pühä	пост				
v.	panda	panda	поставить				
v.	levittada	l’evitada	постилать				
s.	levitez	(Pal) l’evitez	постилка				
a.	vieraz	vieraz	посторонний				
v.	kerita	kerita	постричь				
v. refl.	kolotidakse	kolot’idakse	постучать				
s.	astijad	ast’ad	посуда				
v.	riboittada	ribuutada	посыпать				
s.	higo	higo	пот				
postp.	müöti	müöt’i	по-		s’indaa müöt’i	по-твоему	
adv.	pimed	pimed	потёмки				
v.	pimeta	pimeta	потемнеть				
v.	hajottada	häjetada	потерять				
v.	higostuda	higostuda	потеть				
s.	kumm	kumm	потеха				
adv.	hill’asti	hil’l’ašt’i	потихоньку				
s.	lagi	lagi	потолок				
adv.	dälges	d’äl’ges	потом				
v.	upota	uppota	потонуть				
v.	sambuttada	sambutada	потушить				
v.	gostittada	gost’itada	потчевать				
v.	vargastada	vargastada	похитить				
s.	pohod	pohod	поход				
v.	koheta	koheta	похорошеть				
v.	parata	pareta (IL)	похорошеть				
s.	himo	himo	похоть				
v.	laihtuda	laihtuda 	похудеть				
adv.	puaksumba	puaksumba	почаще				
s.	mua	mua	почва				
part.	mikš	mikš	почему				
v.	musteta	musteta	чернеть, почернеть				
s.	čest’	čest’	почёт				
v.	koheta	koheta	чинить, починить				
s.	počk	počk	почка				
s.	pošti	pošt’i	почти				
s.	ombelemine	ombel’emi/in’e, -ižen, -št (IL)	пошивка				
s.	vüö	vüö	пояс				
s.	tozi	toz’i	правда				
a.	oiged	oiged	правый				
s.	pruaznik	pruazn’ik	празник				
v.	pruaznuida	pruaznuida	праздновать				
s.	vastuz	vastuz	преграда				
v.	tarita	tar’ita	предлагать				
s.	taričend	tar’ičend	предложение				
v.	vard’oita	vard’uuta ~ (Pal) vard’uuda	предостерегать				
v.	heittada	heitta	прекратить (IL)				
s.	premij	premij	премия				
v.	opastada	opastada	преподавать				
s.	vastuz	vastuz	препятствие				
a.	paha	paha	плохой		ül’en paha	прескверный	
s.	pain	paino (IL)	гнет, пресс				
a.	vahn	vahn	старый		ül’en vahn	престарелый	
v.	ližata	l’ižata	прибавить				
s.	uberind	uber’ind, -an, -ad	уборка	keruu; siivous	hein’än uber’indan aiga	во время уборки сена	heinän korjuun aikana
v.	uberida	uber’ida	прибирать				
v.	läheta	l’äheta	приближать				
a.	čirč	čirč	привередливый				
konj.	tervheks	t’ervheks	привет				
s.	magu	magu	привкус				
v.	tuoda	tuoda	приводить				
s.	väll’	väl’l’	приволье				
v.	sidoda	s’idoda	привязать				
v.	kuccuda	kucta	пригласить				
s.	mätäz	mättaz	пригорок				
s.	kahmal	kahmal	пригоршня				
v.	valmištada	vaumištada	приготовить				
s.	tulend	tul’end	приезд				
a.	madalaine	madala/an’e, -ažen, -št	приземистый				
s.	kucund	kucund	призыв				
v.	koskettada	kosketada	прикасаться				
v.	purda	purda	кусать		purda kiel’	прикусить язык	
v.	vierda	vierda	ложиться		vierda kodvaažeks	прилечь	
s.	muanituz	muan’ituz	приманка				
v.	miärita	miär’ita	примерить				
s.	primet	pr’imet	примета				
v.	rubeta	rubeta	приниматься				
adv.	vägel	vägel	принудительно				
v.	muštoitelta	muštuutel’da	припомнить				
s.	ilm	ilm	природа				
pron.	iče	iče	сам		otta ičel’e	присвоить	
v.	küükištuda	küküštuda (IL)	приседать				
v. refl.	ištudakse	ištakse	присесть				
v. refl.	nojatakse	nojatakse	прислониться				
v. refl.	tartuteltakse	tartutel’dakse	приставать				
v.	tüötä	tüöta	присылать				
v. refl.	peittadakse	peitakse (IL)	притаиться				
v.	opastada	opastada	приучать				
v.	tulda	tulda	приходить				
s.	himo	himo	прихоть				
v.	rambita	rambita	прихрамывать				
v.	sugida	sugida	причесать				
s.	kumm	kumm	причуда				
a.	kummalline	kummali/in’e, -ižen, -št	причудливый				
a.	vieraz	vieraz	пришлый				
s.	tovariš	tovariš	приятель				
v.	d’uosta	d’uoksta	пробегать				
v.	oppida	opta	пробовать				
s.	d’agard	d’agard	пробор				
v.	nostattada	noustatada	пробудить				
v.	olda	olda	пробыть				
s.	d’agard	d’agard	пробор				
v.	vajoda	vajuuda	провалиться				
v.	tiedustada	t’iedustada	проведать				
s.	suatand	suatand	проводы				
s.	provolok	provolok	проволока				
s.	pall’az	pal’l’az	прогалина				
v.	lainata	lainata	проглатывать				
v.	ajada	ajada	гнать		ajada irdal’e	прогнать	
v.	nälgäduda	n’äl’ktuda	проголодаться				
v.	d’urišta	d’ur’išta	прогреметь				
s.	kävelend	kävel’end	прогулка				
v.	torguida	torguida	продавать				
s.	müöj	müj	продавец				
s.	müönd	müönd	продажа				
v.	püzüda	(Pal) pižuda	продержаться				
a.	pidelič	pidel’ič	продолговатый				
s.	süömine	s’üömi/in’e, -ižen, -št	продукт (питания)				
s.	niärituz	n’iär’ituz	прозвище				
v.	müöhästuda	müöhästuda	прозевать				
s.	kumm	kumm	происшествие				
s.	keskuč	keskuč	промежуток				
v.	vajehtada	vajehtada	променять				
v.	kastuda	kasta	мочить		kasta l’äbi	промокать	
v.	kastuda	kasta	промочить				
