Synonyymit|Määrittely|kirjalyydi|Murremuoto|Venäjännös|Suomennos|1. esim.|1. esim:n venäjännös|1. esim:n suomennos|2. esim.|2. esim:n venäjännös|2. esim:n suomennos
|s.|perin|per'in, -än, -äd; -öid|перина|höyhenpatja||||||
|s.|peld|peld, -on, -od; -oid|поле; участок|pelto; sarka|(Td) peldod vihotettau|поля зеленеют|pellot vihannoivat|(B) kived i ruoppahad peldol häküt'etau|камни и груды на поле мешают|kivet ja kivikasat pellolla ovat esteenä
nieglanpera, perzepuol'|s.|pera|per/ä, -än, -äd; -id|задняя часть, корма; ушко (иглы); прорубь для невода|perä, takaosa; silmä, neulansilmä; nuotan laskinavanto||||||
|adv.|pidegihe|pidegii|в пользование|käytettäväksi||||||
pidelta|v.|pidada|pidädä ~ pid'ädä, pidän ~ pid'än, pid'in; pidäu ~ pid'äu, pid'i; pidetäu, pidet't'ii|держать, хранить, использовать, потреблять, носить,  растрачивать, нуждаться, проводить|pitää, säilyttää, käyttää, kuluttaa, tuhlata, tarvita, viettää|šuapkat talvel pid'etäu|шапку зимой носят|hattua talvella käytetään|||
|v.|pidattada|pid'ä/ttädä, -tän, -t'in; -tettäu|задерживать, останавливать, оставлять, оплачиваться, держать|pidättää, pysäyttää, keskeyttää, jättää, kannattaa, pitää||||||
|v. yksipers. |pidau|pidäu ~ pid'äu, pid'i|нужно |pitää, täytyy|rahkehet pidäu panda längii|гужи нужно прикрепить к хомуту |rahkeet pitää kiinnittää länkiin|veneh pidäu t'ervata| лодку нужно просмолить |täytyy tervata vene
|s.|piendar|piendä/r', -ren, -rd; -r'id|обочина|piennar||||||
tropnida|v.|pierda|pie/rdä, -ren, -r'in; -röu; -rdäu, -rd'ii|пердеть|pierrä||||||
|s.|pietl'|pietl', -an, -ad; -oid|петля|sarana; silmukka, vetosolmu, napinreikä||||||
|s.|pieluz|pielu/z, -ksen, -st; -kšid|подушка|tyyny; aurankurki||||||
|s.|piel'|piel', -en, -d; -id|косяк|pieli, ovipieli||||||
|a.|pien'|pie/n', -n'en, -nd; -n'id |маленький|pieni||||||
|s.|piha|pih/a, -an, -ad; -oid|двор|piha||||||
pihl'|s.|pihild'|pihil'd', -än, -äd; -öid|рябина|pihlaja||||||
pihl'ahaine|s. dem.|pihld'ahaine|(N) pihild’a/in'e, -ižen, -št; -ižid|рябинка|pihlaja (pieni)||||||
pihl'ahaine, pihl'aine|a.|pihild'aine|(Td) pihild'ä/in'e, -ižen, -št; -ižid|рябиновый|pihlajainen||||||
pihild'|s.|pihl'|(B) pihl', -an, -ad; -oid|рябина|pihlaja||||||
pihild'aine, pihl'aine|s. dem.|pihl'ahaine|(Pl) pihl’aha/in'e, -ižen, -št; -ižid|рябинка; рябиновый|pihlaja (pieni); pihlajainen||||||
pihild'aine, pihlahaine|a.|pihl'aine|(B) pihl’a/in'e, -ižen, -št; -ižid|рябиновый|pihlajainen||||||
|s.|pihl'ak|(B) pihl'ak, -on|гроздь рябины|pihlajanmarja||||||
pihl', pihild'|s.|räbin|(Pl) räbin', -än, -äd; -öid|рябина|pihlajanmarja (LyP); pihlaja||||||
|s.|pihk|pihk, -an, -ad; -oid|смола|pihka||||||
|v.|pihkauzuda|pihkauzu/da, -n, -in|пачкаться смолой|pihkautua||||||
|a.|pikkaraine|pikkara/in'e, -ižen, -št; -ižiden, -ižid|малюсенький|pikkarainen, pieni||||||
|a.|pimed|pime/d, -dän, -däd; -d'id|тёмный|pimeä||||||
|v.|piroittada|piroi/ttada, -tan, -t'in; -ttau, -t'|просыпать|ripottaa, päästää tippumaan||||||
|s.|pisug|pisug, -an, -ad; -oid|тонкое место (в сломанном дереве)|hoikin sälö (katkenneessa puussa)||||||
|a.|pitk|pit'k, -än, -äd; -id|длинный, долгий|pitkä|d'algad vägi pit'käd|ноги довольно длинные|melko pitkät jalat|ol'im pit'käz matkas|я был в долгой дороге|olin pitkällä matkalla (kaukana)
|adv.|pitkali|pit'käl'i|вдоль|pitkään, pitkälti||||||
müöti|adv.|pidut|pit'ud|в длину|pituutta, pituussuuntaan||||||
|s.|piva|piva, -n, -d|пиво|olut, tehtaanolut||||||
pio|s.|pivo|pivo, -n, -d; -id|пясть льна|pio, kouruus, kourallinen pellavia, pellavapivo, hamppupio||||||
|v.|piästä|piä/stä, -zen, -žin; -zöu, -ž; -stäu, -št'ii|попасть наружу, вырваться, высвободиться, уйти|päästä, irtautua, vapautua, lähteä||||||
|s.|piä|piä, -n, -d; -id|голова|pää||||||
piäline, sobahižed|s. mon.|piäližed|piäl'i/žed, -židen, -žid|батан (в ткацком станке); месячные|luha (kangaspuissa); kuukautiset (naiseilla)||||||
ombeluz|s.|piärme|piärme, -gen, -t; -giden, -gid|шов, рубец|päärme, sauma (vaatteessa), ommelreunus||||||
|v.|piärmida|piärmi/dä, -n, -in; -u; -täu, -t't'ii|подрубать (платок), подгибать|päärmätä, pallistaa (nenäliinaa)||||||
|v.|piästäda|piä/städä, -stän, -štin; -stäu; -stettäu; (N) pie/stada, -stan, -s't'in|выпускать, отпускать, освобождать, спасать|päästää, laskea, pelastaa, vapauttaa||||||
|s.|piätköi|piätkö/i, -in, -id; -löid|корова, родившаяся в пятницу|perjantaina syntynyt lehmä||||||
|s.|piätnič|piätn'i/čč, -čän, -ččäd|пятница|perjantai|piätn'iččän|в пятницу|perjantaina|||
|v. refl.|piättidakse|piä/t't'izettä, -t't'izöu, -t'iihe|пятиться|peräytyä||||||
|s.|piäsköi|piä/čöi, -čöin, -čöid; -ččölöiden, -ččölöid|ласточка|pääskynen||||||
|prep.|piäliči|piäl'iči|через, с|yli, ylitse, päällitse, kautta, päältä, perästä||||||
|s. yhd. mon.|piäližpuud|piäl'iš/puud|перекладины (в ткацком станке)|ylipuut (kangaspuiden), teltapuilla oleva varras (kangaspuissa)||||||
|s.|piänik|piän'i/kk, -kän, -kkäd; -köid|убийца|murhamies||||||
|s. yhd.|piäselg|piä/šelg|колос с зёрнами, венчик|tähkä jyvineen, terä||||||
|adv.|piäl|piäl|наверху, сверху|päällä, päältä, yllä, yltä, yläpuolella, yläpuolelta||||||
|s. yhd.|piälagi|piä/lagi|темя, макушка (головы)|päälaki||||||
piäl|adv.|piäle|piäle|наверх|päälle, ylle||||||
piäle|adv.|piälekkai|piälekkäi|друг на другу|päällekkäin||||||
püšt|adv. |püštüs|püštüz|торчком|pystyssä||||||
püštüs|s.|püšt I|püšt|стоячий, торчком|pysty, pystyssä oleva|karvat püštüd|шерсть торчком|karvat pystyssä|||
pilvestuda|v. refl.|pilvedakse|pil'vedäz/että, -öu|покрываться тучами|pilveytyä, pilvettyä, pilvittyä||||||
|v.|pilida|pil'i/dä, -n, -in|пилить|sahata||||||
tuuč|s.|pilv|pil'v, -en, -ed; -id|туча, облако|pilvi||||||
pilv|s.|tuuč|(B, Td, Pl) tuu/č, -čan,|туча|ukkospilvi||||||
|s.|püšt II|pišt, -on, -od; -oid|запруда для рыбы|kalapato, kala-aita,  rysän päreaita, sulkuaita||||||
|s.|pila|pil/a, -an, -ad; -oid|пила|saha||||||
last, puik|s.|pilačim|pilašči/m, -men, -nd; -mid|щепка (сломанного дерева), щепа (сломанного дерева)|puikko, puikot, sälöt (katkenneen puun), piikit (taittuneessa puussa törröttävät)||||||
|s.|pilouhk|pilouhk , -an, -ad|распилка|sahaus, sahaaminen||||||
|s.|pill|pill, -an, -ad; -oid|ущерб|vahinko||||||
|s.|pillamuz|pillamu/z, -ksen, -st; -kšid|порча, злодей|pillamus, pillomus, vahingontekijä, pahantekijä||||||
|v.|pilloita|pilloi/da, -čen, -čin; -ččou|вредить|tehdä vahinkoa, tehdä pilojaan||||||
irdale, veraile|adv.|pihale|pihale|на улицу, на двор|ulos, pihalle||||||
|s. yhd.|plett'varz'|plet'/varž|кнутовище|piiskan varsi||||||
|s.|plett'|ple/t't', -t'in, -t't'id; -t'iid|плётка, плеть|ruoska, piiska, ruoskan siima (punottu), palmikon tapainen nauha||||||
|v.|plet't'idä|ple/t't'idä, -t'in, -t'iin; -t't'iu; -t'itäu|плести|palmikoida, kutoa (virsuja)||||||
lahd'|s.|podark|podar/kk,-kan, -kkad; -koid|подарок|lahja||||||
lahd’oda|v.|podarida|podar'i/da, -n, -in; -u|подарить|lahjoittaa||||||
|s.|podval|podval, -ad, -oid|подвал|kellari (huoneen alla)||||||
|s.|podvosk|podvosk, -an, -ad; -oid|подвозка|takareki||||||
|s.|podr'ad|podr'ad, -an, -ad; -oid|подряд|urakka||||||
|s.|pagast|pogost, -an, -ad; -oid|село|kirkonkylä||||||
kuarzin|s.|pogreb|pogr'eb, -an, -ad; -oid|погреб|jääkellari||||||
|s.|pohd'|pohd', -an, -ad; -id|дно|pohja; peräpovi, nuotan perä, nuotan povi; lihdan alusta; pohjoinen||||||
|a.|pohdimaine|pohd'ima/in'e, -ižen, -št; -ižid|самый нижний|pohjimmainen||||||
|s. yhd.|pohd'uzpuu|pohd'us/puu|киль|köli||||||
|s. yhd.|pohd'laud|pohd'/laud|поплавок невода|laudus, peräkoho, nuotassa peräpoven päällä kaksi puolipyöreätä lautakappaletta||||||
pohd'|s.|pohd'aine|pohd'a/in'e, -ižen, -št; -ižid|север|pohjoinen, pohjola||||||
|s.|poig|poig, -an, -ad; -id|сын, детёныш|poika, pentu||||||
|s.|poigindam|poigin'd'im, -an, -ad; -oid|пасынок, неродной сын|poikapuoli||||||
|s.|poigoveh|poigove/e, -hen, -ht; -hid|выводок|poikue||||||
|adv.|poikki|poikki ~ poikk|поперёк, пополам|poikittain, poikkipäin, poikkipuolin||||||
|a. yhd.|poikpuoline|poik/puol'in'e, -puol'ižen, -puol'išt, -puol'ižid|поперечный вязок (в санях)|reenpaju, kaplaspajut, puut kaplaiden välissä||||||
kuolij|s.|pokoinik|pokoin'i/k  ~ kk, -kan, -kkad; -koid|покойник|vainaja, kuollut, ruumis||||||
ukonbembel|s.|pokrom|pokrom, -an, -ad; -id|радуга|sateenkaari||||||
|s.|ponomar'|ponomar', -in, -id; -iid|пономарь, алтарнин|ponomari, alttaripalvelija, lukkari||||||
kiäbrik, kublaz, pull, pulloine|s.|poplafk|(B, Td) poplafk, -an, -ad; -oid|поплавок|ongenkoho||||||
pordahad|s.|pordaz|porda/z, -han, -st; -hid|ступенька|porras||||||
pordaz|s.|pordahad|pordah/ad, -id|лестница|portaat||||||
|s.|pordimoi|pord'imo/i, -in, -id; -loid|горностай|kärppä||||||
|s.|poro|poro, -n, -d|щёлок|live, lipeä||||||
|s.|poroh|poro/h, -han, -hhad; -hoid|порох |ruuti||||||
|v.|potakoita|potakoi/da, -čen, -čin; -dau, -d'ii|потакать|puoltaa, jättää rankaisematta, hemmotella||||||
|s.|potačk|potačk, -an, -ad|потачка|puolustus, puoltaminen, hemmottelu||||||
|v.|potkaita|potkai/tta, -dan, -žin; -ttau, -t't'ii|лягнуть, пнуть|potkaista||||||
|s.|potok|poto/kk, -kan, -kkad; -koid|потоки|katonreunapuu, räystäs||||||
|a.|potkič|pot'ki/čč, -čun, -ččud; -čuid|лягающийся|potkivainen, paha potkimaan, potkuri||||||
|v. refl.|potkidakse|pot'ki/zetta, -zou, -ihe; -zettau, -zet't'ii|лягаться, пинаться|potkia, potkia toisiaan||||||
gostittada,počestida|v.|poččivoita|poččivoi/da, -čen, -čin; -ččou |потчивать, угощать|kestitä, tarjota||||||
gostittada, poččivoita|v.|počestida|počest'i/da, -n, -in; -ttau, -t't'ii|почестить, угощать|kestitä, tarjota||||||
|s. yhd.|počinpoig|počim/poig|поросёнок|porsas||||||
|s.|poud|poud, -an, -ad; -id|ясная погода, вёдро|pouta, sateeton sää||||||
|v.|poudištuda|poud'ištu/da, -u, -i|распогодиться, разгуляться|poudistua, muuttua poutaiseksi, tulla pouta||||||
|s.|povod|povod, -an, -ad; -oid|повод|marhaminta, riimunvarsi||||||
sananpolv|s.|poslovič|pozlovi/č ~ -čč, -čan, -ččad; -čoid|пословица|sananlasku||||||
tihi|s.|poltiaine|pol't'ia/in'e, -ižen, -št; -ižid|мошка, мошкара|polttiainen, pienen pieni hyttynen||||||
|v. refl.|pol'zuitakse|pol'zui/zetta, -ččezen, -ččiime|пользоваться|käyttää hyödykseen, käyttää hyväkseen||||||
|s.|pola|pol/a, -an, -ad; -id|пола|takinpieli, takinlieve||||||
|v.|polgeda|polgeda, polgen, pol'gin; polgou; polgedau, polged'ii|наступать (ногой); топтать, попирать|polkea, astua, tallata||||||
|s.|polsapošk|polsapošk, -an, -ad; -oid|полусапожек|patini (naisen), puolikenkä||||||
|s.|polst|polst, -an, -ad; -id|полст|reen peite, kärryn peite, nahka reen etuosan yli||||||
|s.|polukatank|polukatan/k, -kan, -kkad; -koid|плукатанки|lyhytvartinen huopikas (naisten), lyhytvartinen huopakenkä (naisen)||||||
valged|a.|polubieloi|polubiel/ii, -oin, -oid |полубелый|puolivalkea||||||
suada|v.|poluččida|polu/ččida, -čin, -čiin|получать|saada, nauttia, ansaita||||||
|s.|pojezd|pojezd, -an, -ad; -oid|поезд|sulhasen saattue, sulhasen hääjoukko, noudeväki (häissä)||||||
|s.|počč|po/čč, -čin, -ččid; -čiid|свяинья|sika|(B) počid röhkit't'ii|свиньи хрюкали|siat röhkivät|||
|s.|povi|pov/i, -en, -ed; -id|грудь|povi||||||
|s.|polv|po/l'v, -lven, -lved; -l'vid|колено|polvi, mutka, viikatteen varsi (väärä)||||||
|s.|pridaunij|pridauni/i, -an, -ad; -oid|приданое|myötäjäiset||||||
čiep|s.|primuzl|primuzl, -an, -ad; -oid|цеп, пригуз|varsta, puimavarsta||||||
|s. yhd.|primuzlanvarz'|primuzlan/varž|цеповище, рукоятка цепа|varstanvarsi||||||
|s. yhd.|primuzlankiel'|primuzlan/kiel'|боёк, рабочая часть цепа|varstankieli, vastannuija, varstanterä||||||
|s.|pris'atk|pris'atk, -an, -ad|присядка|ripaska, prissakka, pikkuryssä, venäläistanssi||||||
|s.|prijatel'|prijat'el', -an, -ad; -oid|приятель|ystävä||||||
|||||||||||
|s.|prohmeld'|prohmel'd', -an, -ad; -oid|похмелье|pohmelo||||||
kadoda|v.|propadida|propad'i/da, -n, -in; -u, -i; -tau, -t't'ii|пропадать, пропасть|kadota, joutua hukkaan, kuolla (eläin)||||||
propadinu|s.|propašt'|propaš, -t'in, -t'id; -t'iid|пропащий|kuollut eläin, haaska||||||
tulk|s.|propk|propk, -an, -ad; -id|пробка|korkki||||||
|s.|propoved'|propoved', -in, -id; -iid|проповедь|saarna||||||
külmäda|v. refl.|prostudidakse|prostud'i/zetta, -zen, -ime|простудиться|vilustua, kylmettyä||||||
proššaigat|interj. |prostigat|prošt'igat|прощайте|hyvästi||||||
|v. refl.|prostidakse|prošt'i/zetta, -zen, -žin ~ -ime|прощаться|ottaa jäähyväiset, sanoa jäähyväiset, sanoa hyvästi||||||
|s.|pruaznik|pruazn'i/kk, -kan, -kkad; -koid|праздник|praasniekka, pyhä, juhla, juhlapäivä||||||
nübl|s.|präšk|präšk, -än, -äd; -öid|пряжка|nappi (uudenaikainen), paidannappi||||||
pualič|s. dem.|pualičaine|pual'ča/in'e, -ižen, -št; -ižid|полочка|hylly (pieni)||||||
|v.|puaduttada|puadu/ttada, -tan, -t'in|давать пригореть|polttaa pohjaan||||||
|a.|puaks|puaks, -un, -ud; -uid|густой, плотный|tiheä, taaja||||||
|adv.|puaksus(ti)|puaksuu ~ (Td) puaksui ~ (Td) puaksušči|часто, густо, плотно|usein, tiheään, taajaan, tiuhaan|(Td) puaksušči vihmuu|идёт частый дождь|sataa hienosti ja tiheään|||
puaksumba|adv. komp.|puaksumb|(N) puoksumb|чаще, почаще|useammin, tiheämmin, tiheämpään||||||
|s.|puar|puar, -an, -ad; -oid|пара; одежда|puku; pari|saraffon da koht om puar akal|сарафан и кофта - костюм у женщины|feresi ja takki ovat naisten puhu|puar heboid|пара лошалей|pari hevosia
|s.|puarm|puarm, -an, -ad; -oid|слепень, овод|paarma|puarmad börištäu|слепни жужжат|paarmat pörisevät|||
purdeh|s.|puaros|puaru/ss  ~ puaro/s, -san, -ssad; -soid|парус|purje||||||
|s.|puaz|puaz, -un, -ud; -uid|паз|liiterako, rakennushirsien välinen lovi (jotta hirret menisivät hyvin vastatusten)||||||
|s.|puazm|puazm, -an, -ad; -oid|пасмо|pasma||||||
|v.|pualikoita|pual'ikoi/da, -čen, -čin; -dau, -d'ii|колотить вальком (бельё)|pestä kartulla vaatteita||||||
|s.|pualik|pual'i/kk, -kan, -kkad; -koid|палка|palikka, kapula, kepakko, kurikka, pesukarttu||||||
|s.|pualič|pual'i/čč ~ pual'/č(č), -čan, -ččad; -čoid|полка|hylly (pitkin seiniä), hyllynlauta||||||
|s.|puaduda|puadu/da, -u, -i|пригорать, пригореть|palaa pohjaan||||||
|s.|pual'|pua/l', -in, -id; -iid|мишень|ampumamaali; paali||||||
|v.|puhastada|puha/stada, -stan, -št'in; -stettau, -stet't'ii|читстить|puhdistaa||||||
|v.|puhkaita|puhkai/tta, -dan,  -žin; -ttau, -t't'ii|очищать, чистить (рыбу)|puhkaista, perata (kaloja)||||||
sülgeda|v.|puhuda|puhu/da, -n, -in; -tau, -t't'ii|дуть; заговаривать; сеять репу|puhaltaa, loitsia, kylvää sylkien (naurista), lietsoa, vivahtaa|puhu suolad, lapsell on häküttäi|заговори соль, у ребёнка болит|loitsi suoloja, lapsella on kipu|mäne puhu nagr'išt!|иди посади репу!|mene kylvämään naurista!
|v.|puhuttada|puhu/ttada, -tan, -t'in|дать заговорить|antaa loitsia||||||
|a.|puhtaz|puhta/z, -han, -st; -hid|чистый|puhdas|samii puhtas t'üö on šüdäin|самый чистый лён - нутро|puhtain pellava on ydin|||
last, puik, pärepuikod|s. yhd.|pärepuik|päre/puik|щепка|pärepuikko, päretikku||||||
pärepuik|s. yhd. mon.|pärepuikod|päre/puikod|щепки|pärepuikot, päretikut||||||
sukkpuik|s. yhd. mon.|sukkpuikod|suk(k)/puikod|спицы для вязания|sukkapuikot||||||
sukkniegl, sukkpuikod|s. yhd. |sukkpuik|suk(k)/puik|спица для вязания|sukkapuikko, sukkavarras||||||
last|s.|puik|pui/kk, -kon, -kkod; -koid|щепка, щепа, палочка, заноза|puikko, tikku||||||
puuhine|a.|puine|pui/n'e, -žen, -št; -žid|деревянный|puinen||||||
|v. refl.|punodakse|puno/zetta  ~ punezetta, -zen; -zou, -ihe; -zettau ~ punezettau||pyöriä, kieriä, punoutua, kiertyä, kiertää||||||
püörittada|v.|punoda|puno/da, -n, -in; -u, -i; -tau, -t't'ii |вить, свивать; вращать, вертеть, крутить, закручивать|punoa, kiertää||||||
|v.|puolištada|puol'iš/tada, -tan, -čin; -tettau, -tet't'ii|поддерживать|puoltaa, pitää puolta||||||
čuuta|v.|puohtada|puoh/tada, -tan, -t'in; -tettau, -tet't'ii|веять, очищать крупу|pohtaa (viljaa), pohtia||||||
|adv.|puolekkai|puolekkai|пополам|kahtia||||||
|v. refl.|puoletakse|puolenda/zetta, -zou, -žiihe; -zettau |уменьшать (на половиу)|vähetä, puoleta||||||
|v. frekv.|puolendelta|puolende/lda, -len, -l'in; -ldau|убавлять|vähennellä, puolentaa||||||
|v.|puoleta I|puole/ta, -ndan, -nžin; -ndau; -tau |убавить|vähentää, puolentaa||||||
|v.|purastada|pura/stada, -stan, -št'in|прорубать лёд пешнёй|hakata tuuralla (jäätä), aukaista tuuralla, syteä||||||
|s.|puraz|pura/z, -han, -st; -hid|пешня|tuura||||||
|s.|purguzij|purgužii|вьюжный|pyry-, pyryinen, tuiskuinen|purgužii pogod|вьюжная погода|pyryinen sää|||
|v.|purguta|purgu/ta, -dau, -ž|вьюжить, завьюжить|pyrytä, tuiskuta, pyryttää||||||
|s.|purn|purn, -un, -ud; -uid|закром|purnu||||||
|s.|purg|purg, -un, -ud; -uid|пурга|lumipyry, lumituisku||||||
|adv.|puskuižihe|puskuižii|бодаясь|puskusilla||||||
|s.|pučk|pučk, -an, -ad; -id|пучёк|kimppu, hiusnuttura||||||
|s. dem.|pučkaine|pučka/in'e, -ižen, -št; -ižid|маленький пучёк|kimppunen, kimppu (pieni)||||||
|v.|puzerta|puzer/tta, -dan, -žin; -ttau|выжимать, отжимать|pusertaa, vääntää (vaatteista vesi)||||||
|s.|puzu|puzu, -n, -d; -id|берестянка, туес|kukkura, kukkurapäinen säkki; tuohiastia (sylinterimäinen); teerenkaha||||||
čurk|s.|pulčuk|pul'ču/k, -kan, -kkad; -koid|чурбан|pölkky (sahattu), istuinpölkky (riihessä)||||||
|a.|puhovoi|puhovi/i, -an, -ad|пуховый|untuvainen, untuva-||||||
|s.|pull|pull, -on, -od; -oid|поплавок (для сети)|pullo (verkon), laudus, nuotankoho, verkonkoho||||||
|v.|purda|pu/rda, -ren, -r'in; -rou, -r'i; -rdau, -r'd'ii |грызть|purra; vihloa, nipistää, koskea||||||
|v.|puskeda|pu/skeda, -skou, -šk; -skedau, -sked'ii|бодать|puskea||||||
|a.|pädij|päd'i/i, -jän, -jäd; -jöid|подходящий, годный|pätevä, sopiva, kelpaava||||||
stola|s.|päged|päged, -än, -äd; -id|плюсна, средний отдел стопы |jalkapöytä, jalan rinta, jalkaterän selkäpuoli||||||
päiväine|s.|päiv|päiv, -än, -äd; -id|день; солнце|päivä; aurinko|päiv paštau|солнце светит|aurinko paistaa|||
päivittumine, päivituz|s.|päidünd|päidünd|загорание (на солнце)|päivettyminen||||||
|s. yhd.|päivkesk|päiv/kešk|середина дня|päiväsydän, keskipäivä, päiväälislepo, päivälepo||||||
|s. yhd.|päivpašt|päiv/pašt, -pašton, -paštod; -paštoid|солнечный свет|päivänpaiste||||||
|s. yhd.|päivännouz|päivän/nouzu, -nouzun, -nouzud|восход солнца; восток|auringonnousu; itä||||||
murgin|s.|päivär|päivär, -ön, -öd; -öid|обед|päivällinen; päivällisen ja illallisen välinen ateria, iltapäivän väliateria||||||
murginoita|v.|päiväroita|päiväröi/dä, -čen, , -čin; -ččöu; -däu|обедать|syödä päivällistä, syödä iltapäiväateriaa||||||
pohd'aine|a. kar.|päivätoi|päivä/töin'e, -ttömän, -töšt; -ttömid|несолнечный|päivätön, auringoton|päivätöin'e pohd'ain'e|северо-восток, северо-запад|koillinen, luode|||
|s.|päivnik|päivn'i/k, -kän, -kkäd; -köid|подёнщик|päiväläinen, päivätyöläinen||||||
päivittuda; valgeta, valgištuda|v.|päidüda|päidü/dä ~ (N) päidu/da, -n, -in|загорать; светать|päivettyä; sarastaa||||||
|s. mon.|päičed|päi/čed, -ččid|недоуздок; уздечка|suitset, päitset, riimu||||||
štilap|s.|pärištim|pärišči/m ~ -n, -men, -nd; -mid|осколок, щепка|sälö||||||
|s.|pätk|pätk, -än, -äd; -öid|пяток|rinkelikimppu; viisi kappaletta; kynttilänpätkä||||||
|s. yhd.|päčinedust|päčin/edust, -edustan, -edustad; -edustoid|место перед печью|uuninedusta||||||
päčinlaud|s. yhd.|päččlaud|päč- ~ päčč/laud|заслонка (печи)|uuninsuuluukku, uuninsuupelti (irrallinen)||||||
päčinsuu|s. yhd.|päčinust'|päčin/ust', -ust'an, -ust'ad|устье печи|uuninsuu||||||
|s. yhd.|päčinocc|päčin/očč|чело печи|uuninotsa, pääty uuninsuun yläpuolella||||||
|s. yhd.|päčinselg|päčin/šelg|верх печи|uuninpäällys, uuninpäällystä||||||
|s.|päštär|päštä/r', -ren, -rd; -riden, -rid|кострика|päistär, päistäre||||||
sobida|v.|pädeda|pä/dödä, -dön ~ -den, -d'in; -döu, -d'i|годиться, пригодиться, подходить|kelvata, sopia, olla pätevä, päteä||||||
särez|s.|päre|päre, -gen, -t ~ -tt; -gid|лучина, дранка|päre||||||
|s.|päčč|pä/čč, -čin, -ččid; -čiid|печка|uuni, kiuas|päčč on viendunu|печь остыла|uuni on jäähtynyt|||
piihted|s. mon.|pìhtimed|piiht'em/ed, -id|щипцы|pihdit, hohtimet||||||
pölgätez|s.|pölgöitez|pölgöite/z, -ksen, -st; -kšid|пугало|pelätin, lunnunpelätin, variksenpelätin||||||
ora|s.|pörk|pörk, -än, -äd; -id|острие бурава, сверло|näverin  terä, poran terä, pora||||||
|s.|pöcöi|pö/čöi, -čöin, -čöid; -ččölöid|желудок (животного)|pötsi, mahalaukku (eläimen)||||||
|s. yhd.|pöcöinahk|pöčöi/nahk|кожица желудока (животного)|vatsanahka, pötsinahka (lehmän vatsassa)||||||
|s.|pövü|pövü, -n, -d; -id|шуба|turkki, lammasnahkaturkki||||||
|s. yhd.|pühäpäiv|pühä/päiv|воскресенье|sunnuntai|pühämpäivän|в воскресенье|sunnuntaina|||
|s. yhd.|pühäsüömine|pühä/šüömin'e|постная еда|paastoruoka||||||
|s. yhd.|pühälask|pühä/lask, -laskun, -laskud; -laskuid|заговенье, масленица|paaston edellinen päivä, laskiainen||||||
|s.|pühöi|pühöi, -n, -d|корова, родившаяся в воскресенье|sunnuntaina syntynyt lehmä, pyhikki||||||
|v.|pürgittada|pür'gi/ttädä, -tän, -t'in; -ttäu, -t'; -tettäu, -tet't'ii|напрашиваться|pyytää (johonkin)||||||
|v.|püütä|p'üu/tta ~ p'iu/tta, -dän, -d'in; -ttäu, -t't'ii|просить|pyydystää, pyytää||||||
|adv.|püördüksil|püördükšil|в гостях (у родителей)|vieraissa (vanhempien kotona), oljaimissa||||||
punoda|v.|püörittada|püöri/ttädä, -tän, -t'in |вертеть, крутить, кружить, вращать|pyörittää||||||
|s.|püörähaine|püörähä/in'(e), -ižen, -št; -ižid|ветрушка|tuulikela, väkkärä||||||
|v.|püörida|püör'i/dä, -n, -in|вертеться, крутиться, кружиться, вращаться|pyöriä||||||
|v.|püštäda|püš/tädä, -tän, -t'in; -täu, -t'; -tetäu, -tet't'ii|втыкать, воткнуть|pistää||||||
oruž|s.|püššal'|püšša/l', -l'in, -l'id, -l'iiden, -l'iid|ружьё, пищаль|pyssy||||||
|v.|pühkida|pühki/dä, -n, -in; -ttäu, -t't'ii|вытирать|pyyhkiä, lakaista||||||
|s.|pii|pii, -n, -d; -löiden, -löid|шип, зубец|pii, piikki (haravan, atraimen)||||||
|s.|piirag|piirag, -an, -ad; -oid|пирог|piirakka, piiras||||||
|v. frekv.|piirdelta|piirde/ldä, -len, -l'in|рисовать|piirrellä, vedellä piirtoja, tehdä veitsellä piirtoja||||||
|s.|piirduz|piirdo/z, -ksen, -st; -kšid|рисунок|piirros, piirto (veitsen)||||||
|v.|piirta|piir/ttä, -dän, -žin; -t(t)äu|рисовать|piirtää viiva, tehdä piirto||||||
|s.|piiskalnič|piiskal'n'i/čč, -čan, -ččad; -čoid|бодяк, осот|ohdake, orjantappura||||||
|a. kar.|piitoi|pii/töin'e, -ttömän, -töšt; -ttömid|лишённый шипов, лишённый зубцов|piitön, piikitön ||||||
|s.|piiterč|piit'erč, -än, -äd; -öid|петербуржец, питерец|pietarilainen, Pietarin asukas|suoridukšiss on kui piit'erč muin'eng | разодет словно как настоящий петербуржец|pukeutuneena on kuin pietarilainen konsanaan|||
tahkota|v.|piittada|pii/ttädä, -tän, -t'in; -tetäu, -tet't'ii|зазубривать (серп)|hammastaa, teroittaa sirppiä||||||
|s. yhd.|pliešpiä|pl'ieš- ~ pl'iešš/piä|плешивый, лысый|klanipäinen, kaljupää||||||
|s.|plieš|pl'ie/šš, -šin, -ššid; -šiid|плешь, лысина|klani, kalju; peniksen pää||||||
|s.|prestol|pr'estol, -an, -ad; -oid|престол|ehtoollispöytä, alttaripöytä||||||
|s.|puu|puu, -n, -d; puid|дерево|puu|puu on viänd|дерево кривое|puu on väärä|(B) tubahillaa kazvetau puud|зарослями растут деревья|typpäissä kasvavat puut
