hakusana|keskilyydi Ph|määrittely|keskilyydi Ph, RKS|venäjännös|suomennos|esimerkki|sama esimerkki (RKS)|esim. venäjännös|esim. suomennos|Sarake1||||||||||
lugij|lugij, -an, -ad (LMS 216)|s.|лугий|чтец|lukija|||||||||||||||
luht|luhte (LMS 216)|s.|лухтэ|лужа|lätäkkö|||||||||||||||
luja|luja|a.|луя|крепкий (о материи)|luja|||||||||||||||
lujeta|lujeta (LMS 217)|v.||укреплять|lujentaa, vahvistaa|lujen'd'in (LMS 217)|луэндин|я укрепил|lujensin|||||||||||
lukk|lukku (LMS 217)|s.|лукку|замок|lukko|||||||||||||||
lukošk|lukošk/e, -an, -ad (LMS 217)|s.|лукошкэ|лукошко|niinikoppa|||||||||||||||
lukuta|lukuta (LMS 217)|v.||замыкать|lukita|lukkudan (LMS 217)|луккудан|замыкаю|lukitsen|||||||||||
lumi|lumi (LMS 217)|s.|луми|снег|lumi|||||||||||||||
luod|luodo (LMS 217)|s.|луодо|луда|luoto|||||||||||||||
luoda||v.||||luon (LMS 217)|луон|сную|luon (kangastan)|||||||||||
lutti|lut'/t'i, -in, -t'id (LMS 219)|s.|лутти|клоп|lude, lutikka|||||||||||||||
luu|luu|s.|луу|кость|luu|||||||||||||||
luud|luud/e, -an, -ad (LMS 219)|s.|луудэ|голик (метла)|varpuluuta|||||||||||||||
luzik|luzikke (LMS 218)|s.|лузиккэ|ложка|lusikka|||||||||||||||
lükkida||v.||||lükin (LMS 220)|люкин|бросаю, кидаю,  выкидываю|heitän, viskaan, nakkaan, paiskaan|||||||||||
lüödä||v.||||lüön (LMS 221)|люён|бью|lyön|||||||||||
läbi|läbi (LMS 222) ~ läbü (RKS)|adv.|лябю|сквозь|läpi|||||||||||||||
lähin|lähin (LMS 222)|adv.|лягин|близко|lähellä, läheisesti|||||||||||||||
lähte|lähte (LMS 222)|s.|ляхтэ|прорубь|avanto|||||||||||||||
lähtä||v.||||lähten (LMS 223)|ляхтэн|ухожу|lähden|||||||||||
lähtäm|lähtem|s.|ляхтям|тёлка (большая)|hieho|||||||||||||||
lämbita||v.||||lämmidan|ляммидан|греюсь|lämmittelen|||||||||||
lämm|lämme (LMS 224)|s.|ляммэ|тепло|lämpi|||||||||||||||
lämmittada||v.||||lämmitän (LMS 224)|ляммитан|грею|lämmitän|||||||||||
läng|länge (LMS 225)|s.|лянгэ|хомут|länget|||||||||||||||
läpettada||v.||||läpetan (LMS 225)|ляпэтан|мигаю (часто)|pilkahdan|||||||||||
löpöi|löpüöi (LMS 225)|s|лёпюёй|лапоть|virsu|||||||||||||||
löüdänd|löudande|s|лёудандэ|находка|löytö|||||||||||||||
löühkäda|l'öüfkäi (LMS 225 )|v.||хвастаться|kerskailla|l'öüfkän (LMS 225 )|лэукян|хвастаю(сь)|kerskailen|||||||||||
löütä|löütä  ~ l'öütä (LMS 226)|v.||находить|löytää|löüdän ~ l'öüdän (LMS 226)|лёудан|нахожу|löydän|||||||||||
madal|madal (LMS 226)|s.|мадал|мель|matala|||||||||||||||
madal|madal (LMS 226)|adv.|мадал|мелко|matala|||||||||||||||
madeh|madeh (LMS 226)|s.|мадэ|налим|made|||||||||||||||
mado|mado (LMS 227)|s.|мадо|змея, гад, гадюка|käärme|||||||||||||||
madoine|madoine (LMS 227)|s.|мадойнэ|червь|mato|||||||||||||||
magata||v.||||magadan (LMS 227)|магадан|сплю|nukun|||||||||||
maged|maged (LMS 227)|a.|магэд|сладкий|makea|||||||||||||||
maid|maido (LMS 228)|s.|майдо|молоко|maito|||||||||||||||
maimkala|maime/kala|s. yhd.|маймэ-кала|сом (малек)|kalanpoika; maima|||||||||||||||
maksada||v.||||maksan (LMS 229)|максан|плачу (долг); стою|maksan|||||||||||
maksand|maksande (LMS 230)|s.|максандэ|уплата|maksu|||||||||||||||
mal'arida||v.||||mal'arin|малярин|малярю|maalailen|||||||||||
mandžoi|mandžuoi (LMS 231)|s.|манджуой|земляника|mansikka|||||||||||||||
mark|marke (LMS 231)|s.|маркэ|марка|merkki|||||||||||||||
mašink|mašinke|s.|машинкэ|машина|kone|||||||||||||||
mask|maske|s.|маскэ|маска|naamio|||||||||||||||
materij|materij|s.|материй|гной (материя)|kangas, aines|||||||||||||||
mecc|mečče (LMS 234)|s.|мэччэ|лес|metsä|||||||||||||||
meccalaine|meččälaine|s.|мэччалайнэ|лесовик|metsäläinen|||||||||||||||
mecckana|mečč/kana (LMS 235)|s. yhd.|мэччъ-кана|куропатка|metsäkana|||||||||||||||
mecoi|mečuoi, -n, -d (LMS 235)|s.|мэчуой|глухарь|metso|||||||||||||||
midal'|medali|s.|медали|медаль; бляха|mitali|||||||||||||||
melata||v.||||meladan|меладан|правлю, управляю (лодкой)|ohjaan|||||||||||
mellida||v.||||mel'in|мелин|мелю|vatvon|||||||||||
mellič|mel'ničče (LMS 233)|s.|мельниччэ|мельница|mylly|||||||||||||||
mel'onk|mel'onke|s.|мелёнкэ|меленка|kahvimylly|||||||||||||||
merež|mereži|s.|мережи|мережа|rysä|||||||||||||||
meri|mer'i, meren, merde (LMS 233)|s.|мэри|море|meri|||||||||||||||
metl|metle (LMS 234)|s.|метлэ|метла|luuta|||||||||||||||
mezijaine|mehäine (LMS 234)|s.|мэгяйнэ|пчела|mehiläinen|||||||||||||||
mieh|miehhe|s.|миэхэ|мех|turkisnahka, turkikset; palje|||||||||||||||
miel|miel|s.|миэлъ|мел|liitu|||||||||||||||
miel'|mieli (LMS 237)|s.|миэли|ум|mieli|||||||||||||||
mielduda||v.||||mieldün (LMS 238)|миэлдун|влюбляюсь|rakastun|||||||||||
mieletoi|mieletüöi (LMS 238)|a. kar.|миэлетюёй|глупый|mieletön|||||||||||||||
mietk|mietke|s.|миэткэ|метка|merkki|||||||||||||||
mikš|mikse ~ miks (LMS 239)|adv.|миксэ|почему|miksi|||||||||||||||
mikš|miks|adv.|миксъ|почему|miksi|miks voruičetos?|миксъ воруйчетос?|что балуетесь (шалите)?|mitä telmitte?|||||||||||
mina|minä (LMS 239)|pron.|миня|я|minä|minun (LMS 239)|минун|мой|minun|||||||||||
mindal'|mindali|s.|миндали|миндаль|manteli|||||||||||||||
minutas|minutas|adv.|минутас|вмиг|silmänräpäyksessä|||||||||||||||
misk|miske (LMS 240)|s.|мискэ|миска|kulho|||||||||||||||
miär|miäre ~ miär (LMS 240)|s.|миярэ ~ мияръ|мера; мерка (мерку снимать)|määrä|||||||||||||||
miäräta||v.||||miärändan (LMS 241)|миярядан|меряю|mittaan|||||||||||
modnoi|modnuoi|a.|моднуой|модный|muodikas|||||||||||||||
moleben|moleben (LMS 241)|s.|молебен|молебен|rukoushetki|||||||||||||||
mujada|mujada (LMS 146)|v.||попробовать|maistaa|mujin (LMS 146)||я попробовал|maistoin|||||||||||
molida||v.||||mol'in|молин|молю|rukoilen|||||||||||
moloč|moločče|s.|молодчэ|молодец|kelpo mies|||||||||||||||
moru|moru (LMS 243)|s.|мору|мор|rutto|||||||||||||||
mua|mua (LMS 243)|s.|муа|земля|maa|||||||||||||||
muam|muamo (LMS 244)|s.|муамо|мать|äiti|||||||||||||||
muanittada|muan'ittada (LMS 244)|v.|pettää|обдуть|pettää|muan'itin (LMS 244)|маниттин|я обдул|petin|||||||||||
muard'ad|muard'ad (LMS 244)|s. mon.|муардят|ягоды|marjat|||||||||||||||
muattada|muattada (LMS 244)|v.||зарывать|mullata, pettää mullalla|muatan|муатан|зарываю|peitin mullalla|||||||||||
muatušk|muatuška (LMS 245)|s.|муатушка|свекровь|anoppi, miehen äiti|||||||||||||||
mučoi|mučuoi (LMS 250)|s.|мучуой|молодуха|nuorikko|||||||||||||||
muda|muda (LMS 245)|s.|муда|тина; соринка (в глазу)|muta; rikka|||||||||||||||
muga|muga (LMS 245)|adv.|муга|так; даром|muuten; ilmaiseksi|||||||||||||||
mugoine|mugoine|pron.|мугойнэ|такой|sellainen|aigoites mugoine|айгойтэс мугойнэ|такое время|sellainen aika|||||||||||
muigota|muigo/ta, -nou, -n'i (LMS 246)|v.||скиснуть, свернуться|hapata|muigon'i (LMS 246)|муйгони|скисло, свернулось (молоко)|happani|||||||||||
muil|muile (LMS 246)|s.|муйлэ|мыло|saippua|||||||||||||||
muod|muode|s.|муодэ|мода|muoti|||||||||||||||
muok|muokke (LMS 247)|s.|муоккэ|му'ка|tuska|||||||||||||||
mureta||v.||||murendan (LMS 247)|мурендан|ломаю|särjen|||||||||||
muruine|muruine (LMS 248)|s. dem.|муруйнэ|крошка|murunen|||||||||||||||
mušk|muške|s.|мушкэ|мушка|kärpänen (pieni) |||||||||||||||
must|muste (LMS 248)|s.|мустэ|черный|musta|||||||||||||||
muštada||v.||||muštan (LMS 248)|муштан|помню, вспоминаю|muistan|||||||||||
mus'toi|mus'tuoi (LMS 219)|s.|мустюой|черника|mustikka|||||||||||||||
mutnoi|mutnuoi|a.|мутнуой|мутный|samea|||||||||||||||
muukkada||v.||||muukan|муккан|мычу|ammun|||||||||||
muuroi|muuruoi (LMS 251)|s.|мууруой|морошка|muurain, lakka|||||||||||||||
muuzik|muzikke|s.|музыкэ|музыка|musiikki|||||||||||||||
mužik|mužik/ke, -an, -kad (LMS 249)|s.|мужиккэ|мужик|mies|||||||||||||||
müödä||v.||||müön (LMS 252)|мюён|продаю|myyn|||||||||||
müönd|müönde (LMS 253)|s.|мюёндэ|продажа|myynti|||||||||||||||
mäčkaida||v.||||mäčkain|мячкайн|мячкаю|vaivaan|||||||||||
mädähn|mähänd/e, -än, -äd (LMS 253 )|s.|мягяндэ|икра|mäti|||||||||||||||
mädähnuz|mähändüs (LMS 253 )|s.||икра (ноги)|pohje|mähändüksed (LMS 253 )||икры|pohkeet|||||||||||
mägi|mägi (LMS 253)|s.|мяги|гора|mäki|||||||||||||||
mägre|mägr/e, -än, -äd (LMS 253)|s.|мягрэ| барсук; ёж (RKS)|mäyrä|||||||||||||||
mälišta||v.||||mäližen|мялижен|реву (плачу)|ulvon|||||||||||
mämlida||v.||||m'amlin|мямлин|мямлю|mumisen|||||||||||
mändä||v.||||mänen|мянэн|вхожу|menen sisään|||||||||||
mändä||v.||||st'okle mäni|стёклэ мяни|стекло попало (заноза)||||||||||||
mänettada||v.||||aigad mänetan|айгат мянэттан|мешкаю|viivyn|||||||||||
märehtin (LMS 255)||v.||||märehtin (LMS 255)|мярехтин|жую (корочку хлеба)||||||||||||
märg|märge (LMS 255)|adv.|мяргэ|сыро, мокро|märkää|||||||||||||||
mölgеttada||v.||||mölgеtin (LMS 256)|мёльгетин|я вытаращил (глаза)|avaan silmäni ammolleen|||||||||||
mömmettada||v.||||mömmetan|мемметан|бормочу|mumisen, mutisen|||||||||||
n'aba|n'aba (LMS 257)|s.|няба|пуп|napa|||||||||||||||
nadežida||v.||||nadežin|надежин|надеюсь|toivon|||||||||||
nado|nado (LMS 257)|s.|надо|золовка|käly|||||||||||||||
nagl|nagl/e, -an, -ad (LMS 257)|s.|наглэ|гвоздь; клин (дрова колоть)|naula; kiila|||||||||||||||
nagrada||v.||||nagran (LMS 257)|награн|смеюсь|nauran|||||||||||
nagriž|nagriš  (LMS 258)|s.|нагриш|репа|nauris|||||||||||||||
nahk|nahke (LMS 258)|s.|нахкэ|кожа|nahka|||||||||||||||
naida||v.||||nain (LMS 259)|наин|женюсь|nain, menen naimisiin|||||||||||
nakažida||v.||||nakažin (LMS 259)|накажин|наказываю|rangaisen|||||||||||
naprasno|naprasne (LMS 260)|adv.|напраснэ|напрасно|turhaan|||||||||||||||
n'auguda|n'augu/da, -u (LMS 260)|v.||мяукать|naukua|n'augun (LMS 260)|няугун|мяукаю|naukun|||||||||||
navedida||v.||||en naved'i(n)|эн наведин|ненавижу|vihaan|||||||||||
neče|neče (LMS 263)|pron.|нэчэ|этот|tämä|||||||||||||||
nedäl'|nedäl'i (LMS 261)|s.|недали|неделя|viikko|||||||||||||||
neičuk|neičukke (LMS 261)|s.|нэйчуккэ|девочка|tyttö, tyttönen|||||||||||||||
neidine|neidine (LMS 261)|s.|нэйдинэ|девушка|tyttö, neitonen|||||||||||||||
nellik|nel'l'ikkö (LMS 262)|s.|нэлликэ|мерка (зерно мерять)|mitta|||||||||||||||
nena|nenä (LMS 262)|s.|нэня|нос|nenä|||||||||||||||
nenatoi|nenätüöi|a. kar.|нэняятюё|безносый|nenätön|||||||||||||||
ner'ah|ner'ahe|s.|нэряхэ|неряха|sottapytty|||||||||||||||
neušto|neušto|adv.|неужто|разве|todellako, todellakin|||||||||||||||
nevesk|neveske (LMS 264)|s.|нэвесткэ|невестка|miniä|||||||||||||||
nevvoda|n'evvoda (LMS 264)|v.||наставлять|neuvoa|n'evvon (LMS 264)|нэввон|наставляю|neuvon|||||||||||
niemenn'okk|n'iemen/n'okkе|s. yhd.|нимэн нёккэ|носовина|niemen kärki|||||||||||||||
niit|niit/tu, -un, -tud (LMS 268)|s.|нийту|пожня|niitty|||||||||||||||
niittada|niittädä (LMS 267)|v.||||niitän (LMS 267)|нийтянъ|кошу|niitän|||||||||||
nimi|n'im/i, -en, -ed (LMS 266)|s.|ними|имя|nimi|||||||||||||||
nimipäiväd|n'im/päivät|s. yhd. mon.|нимъ-пяйвят|именины|nimipäivä|||||||||||||||
nižu|n'ižu, -n, -d (LMS 266)|s.|нижу|пшеница|nisu, vehnä|||||||||||||||
niärittada||v.||||n'iäritan (LMS 267)|няритан|дразню, травлю|kiusaan|||||||||||
nogi|nogi (LMS 268)|s.|ноги|сажа|noki|||||||||||||||
notked|notked (LMS 270)|a.|ноткэд|жидкий|nestemäinen, vetelä, notkea|||||||||||||||
nousta||v.||||nouzen  (LMS 269)|ноузэн|встаю; лезу, влезаю, взбираюсь|nousen|||||||||||
nouzend||s.||||päipašton nouzendе|пяй-паштон ноузэндэ|восход солнца|auringonnousu|||||||||||
n'uak|n'uak/ke, -an, -ad (LMS 271)|s.|нюaккэ|галка|naakka|||||||||||||||
nukkuda||v.||||nukun (LMS 271)|нукун|дремлю|torkun, uinun, uinailen|||||||||||
n'uokkida||v.||||n'uokin (LMS 272)|нюокин|клюю|nokin|||||||||||
nuolda||v.||||nuolen (LMS 272)|нуолэн|лижу|nuolen|||||||||||
nuor|nuore (LMS 272)|s.|нуорэ|веревка|nuora|||||||||||||||
nuor'|nuori (LMS 272)|a.|нуори|молодой|nuori|||||||||||||||
nuoraine|nuoraine (LMS 273)|s. dem.|нуорайнэ|веревочка|nuoranen|||||||||||||||
nuot|nuotte (LMS 273)|s.|нуоттэ|невод|nuotta|nuotte kuajitah kadail (LMS 97)||невод окуривают можжевельником|nuotta suistutetaan katajansavulla|||||||||||
n'uustada||v.||||n'uustan|нюстан|нюхаю|haistan|||||||||||
nübl|n'übl/e, -än, -äd (LMS 274)|s.|нюблэ|пуговица|nappi|||||||||||||||
nähtä|nähtä (LMS 275)|v.||видеть|nähdä|nägin (LMS 275)|нягин|я видел|näin|||||||||||
näivištuda|n'äivištü/dä, -u (LMS 275)|v.||дрябнуть|surkastua, lakastua|n'äivištün (LMS 275)|няйвиштюн|дрябну|surkastun|||||||||||
näivištunu|n'äivištün(n)ü|a.|няйвиштюнну|дряблый|kirtistunut, nahistunut|||||||||||||||
nälg|nälge (LMS 276)|s.|няльгэ|голод|nälkä|||||||||||||||
näpp|näppi (LMS 276)|s.|няппи|щепотка|näppi|||||||||||||||
nävärgaine|nävärgäine|s.|нявяргяйнэ|буравчик|näveri, pora, kaira|||||||||||||||
obbeita||v.||||obbeičen|оббейчен|обиваю|päällystän|||||||||||
obdelk|obdelke|s.|обделкэ|обделка|muokkaus|||||||||||||||
oboz|oboz (LMS 277)|s.|обоз|обоз|kuormasto|||||||||||||||
obraz|obraz (LMS 278)|s.|образ|икона|ikoni|||||||||||||||
occ|očče (LMS 289)|s.|оччэ|лоб|otsa|||||||||||||||
occtukad|oč/tukad (LMS 289)|s. yhd. mon.|очтукат|челка|otsaharja|||||||||||||||
očkad|očkad (LMS 289)|s. mon.|очкат|очки|silmälasit|||||||||||||||
odva|odva (LMS 278)|adv.|одва|едва|hädin tuskin|||||||||||||||
ogorod|ogorod (LMS 279)|s.|огород|ограда|aita, tarha|||||||||||||||
ohd'aksed|ohd'aksed (LMS 279)|s. mon.|огьяксэд|возжи|ohjakset, ohjat|||||||||||||||
ohvotnik|ohvotnikke|s.|охвотниккэ|охотник|metsästäjä|||||||||||||||
oiged|oiged (LMS 279)|adv.|ойгэд|прямо|suoraan|||||||||||||||
oiged|oiged (LMS 279)|a.|ойгэд|правый|oikea|||||||||||||||
oigedah|oigeda(h) (LMS 279)|adv.|ойгэда|направо|oikealle|||||||||||||||
oja|oja (LMS 280)|s.|оя|ручей; канава|oja|||||||||||||||
oks|okse (LMS 280)|s.|оксэ|сук|oksa|||||||||||||||
oksakaz|oksakas (LMS 281)|a.|оксакас|суковатый|oksikas|||||||||||||||
okseta|okseta (LMS 281)|v.||блевать|oksentaa|oksendan (LMS 281)|оксэндан|блюю|oksennan|||||||||||
olda|olda (LMS 281), on, ol'i|v.||быть|olla|olen (LMS 281)|олэн|бываю|olen|||||||||||
olda||v.||||ol'i|оли|был|oli|||||||||||
olda||v.||||on|он|есть (имею)|on|||||||||||
oleksendelnu|oleksendelnu|a.|олэксэндэлну|бывалый|paljon kokenut|||||||||||||||
olg|olgi (LMS 281)|s.|ольги|солома|olki|||||||||||||||
olgpiä|olgu/piä (LMS 282)|s. yhd.|олгу-пия|плечо|olkapää, hartia|||||||||||||||
olttar’|oltari (LMS 282)|s.|о лтари|алтарь|alttari|||||||||||||||
oma|oma (LMS 282)|a.|ома|свой|oma|||||||||||||||
oma|omad (LMS 282)|s. mon.|омад|свои|omat|||||||||||||||
ombelmuz||s.||||ombelmaksed|омбэлмаксэд|швы|sauma, ommel|||||||||||
ombelta||v.||||ombelen (LMS 283)|омбэлэн|шью|ompelen|||||||||||
ong|ongi (LMS 283)|s.|онги|уда|onki|||||||||||||||
ongittada||v.||||ongitan (K. 283)|онгитан|ужу|ongin|||||||||||
opastada||v.||||opastan (LMS 284)|опастан|учу|opetan|||||||||||
opastaj|opastaj (LMS 284)|s.|опастай|учитель|opettaja|||||||||||||||
opitelta||v. frekv.||||opittelen (LMS 285)|опиттэлен|ощупываю, пробую|tunnustelen|||||||||||
opšifk|opšifke|s.|обшивкэ|обшивка|virhe|||||||||||||||
oraine|oraine (LMS 285)|s.|орайнэ|шило|naskali|||||||||||||||
orav|orav (LMS 286)|s.|орау|белка|orvav|||||||||||||||
orl|orle (LMS 286)|s.|орлэ|орел|kotka|||||||||||||||
oruž|oruž (LMS 286)|s.|оруж|ружье|kivääri|||||||||||||||
osl|osle|s.|ослэ|осел|aasi|||||||||||||||
oss'|os'/s'e, -an, -s'ad (LMS 287)|s.|оссэ|ось|akseli|||||||||||||||
ostada||v.||||ostan (LMS 287)|остан|покупаю|ostan|||||||||||
otkažida||v.||||otkažin (LMS 289)|откажин|отказываю|kieltäydyn|||||||||||
ottada||v.||||otan (LMS 289)|отан|снимаю (икону со стены), забираю, захватываю, взимаю, деру (кору)|otan|||||||||||
ounastada||v.||||ounastan (LMS 290)|оунастан|хитрю|vainuan|||||||||||
ounaz|ounas (LMS 290)|a.|оунас|хитрый|ovela|||||||||||||||
oza|oza (LMS 287)|s.|оза|счастье|onni|||||||||||||||
ozr|ozre (LMS 288)|s.|озрэ|жито|ohra|||||||||||||||
ozuttada||v.||||ozutan (LMS 288)|озутан|показываю|näytän|||||||||||
pacaz|pačas (LMS 302)|s.|пачас|столб|tolppa, patsas|||||||||||||||
pada|pada (LMS 290)|s.|пада|горшок|pata|||||||||||||||
pageta|page/ta, -nou, -n'i (LMS 291)|v.||убегать|paeta|äijäl pagenou|айял пагеноу|быстро бежит (убегает)|nopeasti pakenee|||||||||||
pagišta||v.||||pagižen (LMS 291)|пагижэн|говорю|puhun|||||||||||
paha|paha, -n, -d (LMS 291)|a.|пага|плохой|paha, huono|paha hebo|пага гэбо|кляча, худая лошадь|huono hevonen|||||||||||
paha|paha, -n, -d (LMS 291)|s.|пага|враг; неряха|vihollinen, vihamies|||||||||||||||
pahamiel'|paha/mieli|s. yhd.|пага миэли|досада, худо на уме|harmi|||||||||||||||
pahmaz|pahmas (LMS 292)|s.|пагмас|ступа|huhmar (iso)|||||||||||||||
pahn|pahne|s.|пагнэ|яма (простая, RKS)|kuoppa|||||||||||||||
paimeta||v.||||paimendan (LMS 294)|паймэндан|пасу|paimennan|||||||||||
paimoi|paimuoi (LMS 293)|s.|паймуой|пастух|paimen|||||||||||||||
painada||v.||||painan (LMS 294)|пайнан|макаю|kastan|||||||||||
pajattada|pajattada (LMS 294)|v.||петь|laulaa|pajatan (LMS 294)|паятан|пою, запеваю|laulan|||||||||||
pajo|pajo (LMS 294)|s.|паё|песня|laulu|||||||||||||||
paju I|paju (LMS 295)|s.|паю|ива|paju|||||||||||||||
pakaine|pakaine (LMS 295)|s. dem.|пакайнэ|мороз|pakkanen|||||||||||||||
pakita||v.||||pakičen (LMS 295)|пакичен|прошу|pyydän|||||||||||
pakottada||v.||||hambahat pakotetah|гамбагат пакотэта|зубы болят|pakottaa hampaita|||||||||||
pakottada||v.||||piä pakottau|пия пакоттау|голова болит|särkee päätä|||||||||||
pala|pala (LMS 196)|s.|пала|кусок|pala|||||||||||||||
palada||v.||||palan (LMS 196)|палан|горю|palan|||||||||||
palanu|palanu|a.|палану|горелый|palanut|||||||||||||||
palk|palk/e, -an, -ad (LMS 297)|s.|палкэ|плата|palkka|||||||||||||||
pall'|pal'l'e|s.|паллэ|молот|palja, moukari, leka|||||||||||||||
palttin|palttin (LMS 298)|s.|палтин|холст|palttina|||||||||||||||
panda||v.||||panen|панэн|вставляю, всыпаю|panen|||||||||||
part|parte|s.|партэ|парта|pulpetti|||||||||||||||
pašport|pašporte|s.|пашпортэ|паспорт|passi|||||||||||||||
paštada||v.||||paštan|паштан|стряпаю|paistan, keitän|||||||||||
patent|patentat|s. mon.|патентат|патенты|patentit|||||||||||||||
pedaj|pedäj (LMS 303)|s.|педяй|сосна|mänty|||||||||||||||
pedr|pedre (LMS 303)|s.|пэдрэ|олень|peura|||||||||||||||
pehmed|pehmed (LMS 303)|a.|пэгмэд|мякоть (RKS)|pehmeä|||||||||||||||
peittada||v.||||peitan (LMS 306)|пейтан|прячу|piilotan|||||||||||
peld|peldo (LMS 304)|s.|пэлдо|поле|pelto|||||||||||||||
pelvaz|pelva/s, -han, -st ~ -ste (LMS 305)|s.|пэлвас|лен|pellava|pelvast külvetäh (LMS 180)||лён сеют|pellavaa kylvetään|||||||||||
pera|perä|s.|пэря|выгонка|perä|||||||||||||||
peramela|perä/mela (LMS 307)|s. yhd.|пэря-мела|кормовое весло|perämela|||||||||||||||
perednik|perednikke (LMS 305)|s.|передниккэ|фартук|esiliina|||||||||||||||
pereh|pereh (LMS 306)|s.|пэрэ|семья|perhe|||||||||||||||
perinad|perinäd (LMS 306)|s. mon.|пэринят|перины|höyhenpatjat|||||||||||||||
pert'|pert'/t'i, -in, -t'id (LMS 307)|s.|перти|изба|pirtti, tupa|||||||||||||||
pesk|pesku (LMS 308)|s.|песку|песок|hiekka|||||||||||||||
pesta||v.||||pezen (LMS 308)|пэзен|мою|pesen|||||||||||
pestakse|pestäkse, pezehez, peziheze (OFM)|v. refl.||мыться|peseytyä|pezemös|пэзэмёс|умываюсь|peseydyn|||||||||||
petl|petle|s.|пэтлэ|петля|silmukka|||||||||||||||
peza|pezä (LMS 308)|v.|пэзя|гнездо|pesä|||||||||||||||
pidada|pidä/dä, -u (LMS 309)|v.||держать|pitää|žualoban pidan|жалобан пидан|жалуюсь, жалобу держу|teen valituksen|||||||||||
pidada||v.||||t'ühjäkse pidau|тюгьяксэ  пидау|тратит, на пустое держит|hän kuluttaa|||||||||||
pieksada||v.||||pieksan (LMS 311)|пиэксан|мешаю, сбиваю (мешаю масло)||||||||||||
pieluine|pieluine (LMS 311)|s.|пилуйнэ|щель|rako, väli|||||||||||||||
pieluz|pielus (LMS 311)|s.|пиэлус|подушка|tyyny|||||||||||||||
pieluzpiäline|pielus/piäline (LMS 311)|s. yhd.|пиэлус пиялинэ|наволочка  (на подушку)|tyynyliina|||||||||||||||
pien'||a.||||pieni  lapsi|пиэни лапси|малютка|pieni lapsi|||||||||||
piendar|piendar (LMS 311)|s.|пиэндар|межа|tilanraja, tonttiraja|||||||||||||||
piha|piha (LMS 322)|s.|пига|улица|piha|||||||||||||||
piihted|piihted (LMS 320)|s. mon.|пихтэт|клещи|hohtimet|||||||||||||||
piirag|piirai (LMS 320)|s.|пирай|калитка (пирог)|karjalanpiirakka|||||||||||||||
pila|pila (LMS 313)|s.|пила|пила|saha|||||||||||||||
pilida||v.||||pilin (LMS 313)|пилин|пилю|sahaan|||||||||||
pilkeh|pilkeh (LMS 313)|s.|пилкэ|пятно|täplä|||||||||||||||
pilkkoda||v.||||pilkon (LMS 313)|пилкон|рублю|pilkon|||||||||||
pill|pille|s.|пиллэ|изъян|vika|||||||||||||||
pilv|pilvi (LMS 313)|s.|пильви|туча (дождевая)|sadepilvi|||||||||||||||
pino|pino (LMS 314)|s.|пино|костер, поленница|pino|||||||||||||||
pipper'|pippuri|s.|пиппури|перец|pippuri|||||||||||||||
pistolet|pistolette|s.|пистолэттэ|пистолет|pistooli|||||||||||||||
pitaidakse||v. refl.||||pitaimos|питаимос|питаюсь|ruokailen|||||||||||
pitk|pitke (LMS 3153)|a.|питкэ|длинный|pitkä|||||||||||||||
pitkin|pitkin (LMS 315)|adv.|питкин|вдоль|pitkin|||||||||||||||
piä|piä (LMS 316)|s.|пия|голова|pää|šuapkat piäz ielnu (OLR 139)||шапки на голове не было|hattua päässä ei ollut|||||||||||
piäsköi |piäsküöi (LMS 320)|s.|пияскюй|ласточка|pääskynen|||||||||||||||
plemännik|plemännikke (LMS 322)|s.|племянниккэ|племянник|veljen poika, sisaren poika|||||||||||||||
plett'|plet't'i (LMS 322)|s.|плэтти|плеть|piiska|||||||||||||||
plettida||v.||||plet'in (LMS 322)|плэтин|вплетаю; плету (косу)|palmikoin|||||||||||
plotin|plotin (LMS 322)|s.|плотин|плотина|pato|||||||||||||||
plotnik|plotnikke (LMS 322)|s.|плотниккэ|плотник|kirvesmies|||||||||||||||
pläššida||v.||||pl'ašin (LMS 321)|пляшин|танцую|tanssin|||||||||||
počč|počči (LMS 329)|s.|поччи|свинья|sika|||||||||||||||
počinpoig|počim/poige (LMS 330)|s. yhd.|почин пойгэ|поросенок|porsas|||||||||||||||
podarida||v.||||podar'in (LMS 323)|подарин|дарю|lajoitan|||||||||||
podr'ušnik|podr'ušnikke|s.|подбрюшниккэ|подпруга|satulavyö|||||||||||||||
podušnoi|podušnoi|s.|подушной|подати|verot|||||||||||||||
podvodad|podvodad (LMS 323)|s. mon.|подводат|подводы|kuormarattaat|||||||||||||||
pagast|pogoste (LMS 324)|s.|погостэ|погост|kirkonkylä, kirkkomaa, seurakunta|||||||||||||||
pohd'|pohje (LMS 324)|s.|погье|дно|pohja|||||||||||||||
pohd'aine|pohjaine|a.|погьяйнэ|северный|pohjoinen|pohjaine tuuli|погьяйнэ туули|ветер (северный)|pohjoistuuli|||||||||||
poig|poige (LMS 324)|s.|пойгэ|сын|poika|||||||||||||||
poikki|poikki (LMS 325)|adv.|пойки|поперек|poikki|||||||||||||||
poklon|poklon|s.|поклон|поклон|kumarrus|||||||||||||||
pola|pola (LMS 325)|s.|пола|пола|helma|||||||||||||||
polat'|polatti|s.|полатти|полати|laveri|||||||||||||||
polos|polos (LMS 326)|s.|полос|полоса|kaista, suikale, liuska|||||||||||||||
polosud|polosut|s. dem.|полосут|полоса|kaista, suikale, liuska|||||||||||||||
polotn|polotne|s.|полотнэ|полотно|palttina|||||||||||||||
